,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,-0.18179699547361342,0.2618536232673182,-0.1435827475710422,0.16989600458826049,0.30943633257382935,0.16141373150382152,0.14461179896213772,0.13359137152364015,0.48454625063086093,0.27703872916173655,0.30042811175747697,0.23410833710727835
ECMWF-SEAS5.1,lead2,-0.2720541521358388,0.2357459732328011,-0.16941456983615907,0.13978835928055663,0.2506837640195949,0.2803722469301789,0.20420348892467408,0.35723905923009425,0.2912910136545902,0.2857956148902827,0.18922072492609196,0.11452439701078797
ECMWF-SEAS5.1,lead1,0.2543642786020105,0.1879327250893441,-0.18868126465173934,0.12133573569018735,0.37452722790495857,0.2334381311978282,0.46422111999250254,0.30488361479719556,0.263848771215147,0.4719901583657269,0.2846139365237288,0.1778410549799047
Météo France-System 8,lead3,-0.3754353962527377,0.04316821091862534,0.04371371667932365,0.28428357574480173,0.2144477823718132,0.11447041423948334,0.464303910654724,0.28760114225421246,0.42863214789425386,0.2231952975215844,0.03346777070462116,0.11612497906297911
Météo France-System 8,lead2,-0.23020519648101131,0.054604268373136304,-0.04264617041722352,0.02499188491675951,0.2327905884114316,0.35391774978340923,0.289293410977206,0.3545346557794052,0.43613621674195674,0.16147366030692367,0.34113190487518397,0.14627720697097882
Météo France-System 8,lead1,-0.16523729219663463,-0.03487850145800334,-0.15843964517320938,0.0974861961614776,0.311157544363734,0.321484005828167,0.42227019484074224,0.31117929421488,0.24803845668040128,0.5484257196956233,0.1130692536418138,0.15232237526240996
Met Office-GloSea6.2,lead3,-0.24932361371650452,0.10830167065407015,-0.19682669096345232,0.10226714192495795,0.22186307842998867,0.24968797598131207,0.284850290361757,0.15436195297006272,0.4269387611650631,0.3762111914892879,0.151579548944537,0.20894482709546602
Met Office-GloSea6.2,lead2,-0.006166204348738367,0.1451435953509837,-0.12942534467904926,0.13111037253224847,0.10569492630939961,0.3104392471646351,0.27612532270552226,0.2515506775665892,0.41267672301684794,0.37143701413428365,0.04659210202955937,0.022009567623341893
Met Office-GloSea6.2,lead1,-0.12624215228017888,-0.12114454944696824,-0.11421859768695733,0.018786506506847902,0.25811160310151904,0.16666314878167462,0.24102203672349318,0.38444392779091263,0.4775149068318446,0.29899249460169064,0.18790867669264866,0.362483997446699
DWD-GCFS2.1,lead3,-0.13813942004326007,0.18299840676876525,-0.04995408944125558,0.13693194462601085,0.22449470187327636,0.0629300417906662,0.1476919341631528,0.18808140204570864,0.2881265945510213,0.1510030743244148,0.20657683377321695,0.1545025520433739
DWD-GCFS2.1,lead2,0.009956768276802393,0.36454344509457276,-0.09909494766229889,0.06520537673436466,0.24757806734301707,0.0936650796302098,0.27427368282482584,0.17089409548563986,0.22686116829731265,0.23923773925503589,0.13837283144840112,0.016330234569588292
DWD-GCFS2.1,lead1,-0.05862916224618724,0.262886163859218,-0.21496765154994824,0.1414286248005886,0.17790167244598246,0.09901651717686795,0.2199272164684783,0.192025564490206,0.17880921675938202,0.2137403335172603,0.09322288358901443,0.2949929791761123
CMCC-SPSv3.5,lead3,-0.017222078498221605,0.07448038824257555,-0.22913308129044233,0.22189051484686992,0.23499986726611402,0.20838569816429756,0.337375363565896,0.20461631602239708,0.21631740548153805,0.4092205701090098,0.154669164964376,0.21479879714250819
CMCC-SPSv3.5,lead2,-0.07256627874851122,0.11568545077666663,0.06518280331903213,0.0841837857649685,0.30090487011814726,0.45895061136063686,0.2855129425607877,0.15847654012167436,0.3342982156990066,0.274700424690679,0.18214250654030045,0.17820058840545838
CMCC-SPSv3.5,lead1,-0.029725631746086292,0.17810940032303274,0.006253505678920097,0.15245521049815147,0.30039714550078767,0.2712377546743283,0.38784116120350276,0.24333541352616614,0.13721645615077802,0.42340671199911895,0.1604349559426029,0.24293932123199927
NCEP-CFSv2,lead3,-0.2544685258576615,-0.037449405699317935,-0.30372984615875476,0.2093186172768685,0.13860643792541216,0.2248067100654419,0.4509237632164953,0.1388010458426269,0.12239469556950636,0.4210466706002141,0.11586543799303405,0.12786942963630193
NCEP-CFSv2,lead2,-0.3289370034437112,-0.015970683218676906,-0.0169440563796916,0.12317778834415144,0.2403027741078721,0.21637809734637717,0.29829161644034236,0.18672272867791362,0.2648116904446756,0.2875305622308118,0.06590584970582544,0.0781739322099252
NCEP-CFSv2,lead1,-0.043515975453590316,-0.01928064633029528,-0.07865061139120653,0.021844338535938247,0.09646965133565019,0.2159355721306577,0.33666431176295597,0.22414400988990618,0.22310875455971393,0.21193185529676445,0.15578558738043502,0.10963447523273183
JMA-CPS3,lead3,0.21874066801002628,0.16745583153731075,-0.13252370016723972,-0.10807567578341126,0.22666776761006704,0.37185166581923895,0.30908222047485107,0.19488165993482998,0.27333873816028104,0.415157416382052,-0.09231958697751784,0.29917354070438507
JMA-CPS3,lead2,-0.037702343717971126,0.284260282300577,-0.34124438858003087,0.01624915654306599,0.29043130035451137,0.3833003892376485,0.23377233192839933,0.16557411130125788,-0.016869683070865983,0.25538796812148645,0.340616784249269,0.24699785323927909
JMA-CPS3,lead1,0.1642812403085774,0.09412432945651227,0.05738796380092819,0.08916225137014518,0.2956873685751383,0.10644083357773655,0.07155625506999265,0.27589858940582906,0.23927433237356965,0.11203135930164859,0.21103218157233317,-0.12569667391720482
ECCC-GEM5-NEMO,lead3,-0.1480083322146593,0.10203561135578258,-0.1528018719222798,0.2795846213186268,0.13425950743841117,0.15264950225859902,0.37844304879554685,0.1262365761821143,-0.11407242500355495,0.43330911626858215,0.2486521044141297,0.19747440850884557
ECCC-GEM5-NEMO,lead2,0.052818771443842866,0.13598651728573302,0.06437546281161911,0.2756145498644981,0.15802918840101376,0.12683830234521273,0.12032311350741268,0.0009949007838969397,0.16071489560264185,0.3065681977744124,0.20241159486415883,0.27968097213351567
ECCC-GEM5-NEMO,lead1,0.09098909356960994,-0.0691957483045645,-0.04313864640913036,0.23263187688263112,0.10632704998317116,0.2938692056058974,0.2033570151582838,0.2496511487684103,0.1606149288818466,0.45518510831709086,0.3604342533517011,0.37508740233786225
