,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,0.049736303094609635,0.040594476473658596,0.10708694164413225,-0.100266512588452,0.20988565368515388,0.04300776187756743,0.06028636264790664,0.17855664577547087,0.32830386444182086,0.09548515378943156,0.047766149166270803,0.34485656177499013
ECMWF-SEAS5.1,lead2,0.08100844107272641,0.23445485681307676,0.0009588152454491013,0.19192530271213404,0.18598960983916502,0.15452143817653924,0.14724310676026717,0.1484917094821953,0.03943241361261254,-0.0654637821936001,-0.050704100767084294,0.24885070801138165
ECMWF-SEAS5.1,lead1,0.23272794666715327,0.09020961833175677,0.11198394860700948,0.29354007036740076,0.23159294454524026,0.21402068780470623,0.052863602355954824,0.15376910780226294,0.13744127734025816,0.12301362498064432,0.19732097944032004,0.36816594903758143
Météo France-System 8,lead3,0.07739302478919129,0.11001384419715182,0.04368198739152182,0.13357876053825898,0.11118483677971512,-0.013249374639071861,-0.10879478256211478,0.11980828526063735,0.19304935675920992,0.19495172607306382,0.20200027002943782,0.47017115255319797
Météo France-System 8,lead2,0.12449983227346238,0.10227653845341367,0.07430551430016868,0.10980853168684027,0.17402297902390998,-0.0011929754718299818,0.13541922801897852,0.2648817455800615,0.27190214072414226,0.36251920801677817,0.2629070562659602,0.18736731520661945
Météo France-System 8,lead1,0.16558367439266625,0.15706169351731997,0.005605383582461577,0.10240143689347679,0.20804652681959754,0.25193284629995333,0.18088996060223303,0.23420709156425715,0.25504443406261673,0.18280522141660452,-0.04863711267194612,0.3141869095551848
Met Office-GloSea6.2,lead3,0.06263818341066772,0.014634728236735551,-0.056717932851335875,0.0482933634340717,0.15602549674068494,0.15462190320622296,0.10877734850101396,0.07825888449809695,0.11835086615502541,-0.037389788536082845,-0.06302672836004572,0.3321568127457295
Met Office-GloSea6.2,lead2,0.29315078772204983,-0.09542221550427461,0.09465757079934557,0.0634769372644384,0.0406003759461248,0.06842857329277936,0.15116951836944437,0.052018150959791926,0.25663931458578526,0.1178823316696013,0.1957994345488787,0.2634451452522798
Met Office-GloSea6.2,lead1,0.11906083902076309,0.1740313839662238,0.05875945230275247,0.1565893750346921,-0.05678627490562323,0.12477332441524148,0.12013066936502206,0.27236620086571023,0.21440640737222882,0.22367775973790552,0.10262550753772623,0.538591262864608
DWD-GCFS2.1,lead3,-0.03155594667388064,0.18463213343825327,-0.021511409340130214,-0.02415605516628209,0.3107290067161595,0.1338000075762033,0.08049656928486683,0.07534594390450143,-0.009681675834913884,0.17568127523521496,0.19011143015414886,0.4799507366181529
DWD-GCFS2.1,lead2,0.1648215941155362,0.1127782045229918,-0.012187174243407404,0.32541967492909213,0.2871986497891292,0.10352135925648041,0.1878129174802449,0.1064032909615093,0.13422760122727218,0.29667586830571396,0.168175109977354,0.2365601443686967
DWD-GCFS2.1,lead1,0.21985606194666638,0.11884914119393013,0.11864214741112304,0.2717309528692564,0.16372469694669578,0.07937131423809657,0.052007818894476095,0.0712392549080467,0.1959675577838017,0.3011439911893558,0.17150489455006032,0.3187813880977754
CMCC-SPSv3.5,lead3,0.09017095499158878,0.056805377659789935,0.16236564110369964,0.0754471651970647,0.03160343166110859,0.11421174840684553,0.1084984786039318,0.12330893039529237,0.18053166105527582,0.038556657243248325,-0.11052775066296887,0.4279502172991566
CMCC-SPSv3.5,lead2,0.12677757111104632,0.047430275025243024,0.2146407563428417,0.22050064090339652,0.2130413591343685,0.2501452212715888,0.10625616580614322,0.05169422234688991,0.20689625687501578,-0.05761384116242484,0.15765168329900947,0.15210588005671594
CMCC-SPSv3.5,lead1,0.16205167817920202,0.16874885322907995,0.07581106091430428,0.2740556224865859,0.20219663798436865,0.14935985152528225,0.019197921771229306,0.11932904209778404,0.19807566794503367,0.2715910497635445,0.1792414366205027,0.434670525290328
NCEP-CFSv2,lead3,0.08757427240614425,0.07897657185084206,0.04227987410414984,0.013864314097433834,0.04231468411098791,0.1534695670927031,-0.0013506513256633364,0.07546510220335602,0.13803888634054653,0.19796952573181567,0.08058948378386008,0.5007634947439005
NCEP-CFSv2,lead2,0.03221214235034549,0.01952426651639919,-0.00018170004897466232,-0.004668197579506972,0.17407795418076258,0.2160111816462885,0.002032173766672639,0.05366284439632884,0.08992001258812417,-0.03394468557837593,0.15964169315660173,0.39637923929394603
NCEP-CFSv2,lead1,0.13448088384821563,-0.05479111084410444,-0.1595684224003597,0.27502819554763874,0.16643159158244109,0.16164139107194272,-0.016465645090310007,0.10931036294875761,-0.04624160299628118,0.1332729168324932,0.40287611858603145,0.30133920720321633
JMA-CPS3,lead3,0.045642727643858745,0.07391409088438759,0.112848151087071,-0.09581577776561981,0.0549088707354227,0.24020332310486264,0.10802085032394304,0.02506125416602463,0.0690280831313622,-0.08294094696113037,-0.014049466336659296,0.38304968053504507
JMA-CPS3,lead2,0.10315378206208563,0.27938957917161156,-0.1625890082181374,0.006913722297258527,0.14909466640841298,-0.005821008062343343,0.13980442962345063,0.14889193232287207,0.00564896272689058,0.1618092429484998,0.15891380444054504,0.070641256821395
JMA-CPS3,lead1,-0.06121362235817117,-0.05465044118017531,0.10361388895787985,0.17310399803107193,0.06827281298926534,0.20242519759676356,0.09201708504511029,0.023697318034719455,0.11647535359113596,0.16439122466789952,-0.11948533500982436,0.32170326773155544
ECCC-GEM5-NEMO,lead3,0.1365378957578833,-0.03095642717626558,-0.03332306971055427,0.09755442335235458,0.006928680974524154,0.02682164781332283,0.08211160055155983,0.1324725626709942,0.2402788014935727,0.12934199649091002,-0.04580032502074664,0.3190253179931986
ECCC-GEM5-NEMO,lead2,0.10765202105046028,0.12204520164973257,0.09877063156065106,0.2268779856484559,0.019158017325525717,-0.08320285532852127,0.010429189895000454,0.17054808979546518,0.07138190187441859,0.1449271127484071,0.07921911192274024,0.17914802316954237
ECCC-GEM5-NEMO,lead1,0.17197301267347906,0.16793533175524517,0.048878380639100716,0.174755767320849,0.027683078726044294,-0.012849533483072112,0.1336879992848133,0.09512743235435595,-0.16018518641511975,0.09901510914753338,0.21486541616283025,0.30152393567579766
