,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,-0.10381173249328166,-0.0769089384871637,-0.05696137571190118,-0.0812960142171097,0.024418159902315925,-0.028776366577558228,-0.018356232145387792,-0.004421061666287583,0.05746335434602251,-0.028866532672935267,-0.08077171224209777,0.03832519172162051
ECMWF-SEAS5.1,lead2,-0.05931999562321359,0.006794254280349798,-0.041032776568155294,0.011457190352295709,0.0022965166765286007,-0.022368972357639252,0.01183693909920707,0.0018907360631213884,-0.044225677443428674,-0.0526624128163063,-0.11401617675866584,0.04327458232204273
ECMWF-SEAS5.1,lead1,-0.002213547102156318,-0.09623710889607943,-0.02933200281276516,0.0308094936597377,0.03273554569048664,0.013078683381999795,-0.006236906100666159,-0.012945741574587109,-0.03796218135933012,-0.04673494644900564,0.025033477217621284,0.07708005735971535
Météo France-System 8,lead3,-0.05155256742372219,-0.0301253476436349,-0.07065531155759677,-0.007831808136164858,-0.03579834684839611,-0.06993954054085985,-0.10169842378778267,-0.016314245107798567,0.01962137036086583,0.005838822154815489,0.00798068304171536,0.10983866147091934
Météo France-System 8,lead2,-0.043525704334728785,-0.05213381413908063,-0.011014146501519832,-0.003529642266747967,-0.012256233745153325,-0.059294860766352785,0.01482712160760137,0.02344258470993377,0.03291998446827551,0.0817330562192471,0.03308243220119962,0.01555764418366315
Météo France-System 8,lead1,-0.07042036989880593,-0.02201316121889022,-0.0789740835115657,-0.029744888591763326,-0.0008807592636405539,0.023748407079416903,-0.02564106800614372,0.008614542922327594,0.012958554523761618,-0.018532468334367135,-0.07819324616877783,0.0281734039979525
Met Office-GloSea6.2,lead3,-0.071860029330952,-0.08004055658907047,-0.061344313238724274,-0.059240874361637566,-0.018810014374935107,-0.023967216860455356,-0.034555391707613264,-0.010396034222587752,-0.019231965238910576,-0.0767384925512447,-0.10154389861702298,0.06688194614325119
Met Office-GloSea6.2,lead2,0.0052875435699916125,-0.11331337878671756,-0.05085912978124339,-0.013465646289071515,-0.05285814147366083,-0.04112616228576182,-0.009437024187530719,-0.04152008501133977,0.027943601785461753,-0.026583318045195793,0.0269102215587691,0.025658073488415964
Met Office-GloSea6.2,lead1,-0.045029136819848284,-0.043360318014038286,-0.027134557412903024,0.00850081713898219,-0.1021208156551092,0.00045801446034882256,-0.03194434752192699,0.03641978553270376,0.0014315373009114172,0.023994122324046626,-0.027829466135389985,0.16350445024246582
DWD-GCFS2.1,lead3,-0.15882942173337242,-0.06690655806647942,-0.08191488334942698,-0.04773393126462846,0.05780735057825701,-0.03409669639639801,-0.016902724595487924,-0.03420975548740055,-0.03619984282960233,0.03173620853101684,-0.02519014593446963,0.1275655924296656
DWD-GCFS2.1,lead2,-0.05992195079491729,-0.09011909766460527,-0.0670219672398862,0.026442068964544523,0.04446295539206959,-0.040909227826911386,-0.011352505475591535,-0.0106591047214378,0.003935202559369842,0.04372349055510598,-0.006463182362279375,0.026889098080923622
DWD-GCFS2.1,lead1,-0.04972908613024987,-0.09771731475853865,-0.0347692982988335,0.023121420114247112,0.00481660774233718,-0.03265523882290263,-0.04083264658057402,-0.012247951503876144,0.006883784945507739,0.053626569964165635,0.001919349823427982,0.06292787257013696
CMCC-SPSv3.5,lead3,-0.03961523841642316,-0.044988950207934364,0.01025364949026758,0.0026539735497071205,-0.021270559499646378,-0.010199401028298822,-0.001652892067398136,-0.006576514329177116,0.012766771676770018,-0.020488522276734113,-0.11184983938885898,0.08820687265556718
CMCC-SPSv3.5,lead2,-0.02518158950314893,-0.04662934772898223,0.02987795158347463,0.014006206173652946,0.005203218938429284,0.03517314533415973,-0.016590800514856254,-0.011232801213538455,0.05082178894574895,-0.07237622163262725,-0.015044857638517185,0.003664854939829201
CMCC-SPSv3.5,lead1,-0.012596507192685916,0.013315970271043013,-0.022661495029654734,0.03989511175997381,0.006913695705679164,0.021140520978929617,-0.022269335827733862,0.01216245136936271,0.015719941299425475,0.025323592919393297,0.011303858637181278,0.09290320518408071
NCEP-CFSv2,lead3,-0.06940628191299107,-0.08710128676940868,-0.05398803750532557,-0.025928564151783615,-0.043632569584686635,-0.011248780983032372,-0.036972065565029896,-0.0518211021735509,-0.009142518883665672,-0.02938589562496249,-0.05195540491909018,0.14334847153811264
NCEP-CFSv2,lead2,-0.1334380190055627,-0.06658864557327494,-0.05385884284168139,-0.07305318818401954,-0.014970255121791898,0.028436373783523167,-0.08994206616678578,-0.0529294882132586,-0.03851541417550143,-0.08033638896471418,0.009778937107907445,0.09805540603964427
NCEP-CFSv2,lead1,-0.040616043092650066,-0.11944989433787385,-0.1055840321001115,0.023416307910453824,8.572092211633164e-05,-0.061258325337771716,-0.10342679176555701,-0.024354614357784195,-0.057892237777962256,-0.04186477245861822,0.10458015551252857,0.053425994150117194
JMA-CPS3,lead3,-0.20482595960606867,-0.16104763742555128,-0.11829116339435418,-0.24057821872381588,-0.09602386374106339,-0.03835498762893952,-0.05792821347829035,-0.20022806086693115,-0.12886810772420954,-0.2493479645847183,-0.18746090328592305,0.009983828749857036
JMA-CPS3,lead2,-0.15016416401710583,0.024463170424364578,-0.27921976449963287,-0.12224359142662679,-0.12543426127184698,-0.12568694786129134,-0.1132735751901181,-0.09193216143738271,-0.15208741533787237,-0.03804912031577806,-0.12475140528543367,-0.16085492283307162
JMA-CPS3,lead1,-0.19441014518132815,-0.22765113989212352,-0.07478607490822752,-0.09908829988312354,-0.10272380466538743,-0.03935692547139275,-0.11555242254718687,-0.08806342564108657,-0.0420360887852653,-0.03913853120175327,-0.22165044733573022,0.061436898338209776
ECCC-GEM5-NEMO,lead3,-0.158984752845699,-0.22197895869457065,-0.17491576677774992,-0.10862520758950997,-0.1532749939594592,-0.15875159932055039,-0.0809821698311387,-0.0749803337881812,-0.030500429830062684,-0.1355221498630948,-0.24279332398768477,0.020852443479844395
ECCC-GEM5-NEMO,lead2,-0.16489258027717218,-0.09842350041734028,-0.09224321293838265,-0.04073069696141712,-0.13865203379846533,-0.17929647786991845,-0.11357951093846844,-0.054440194548642504,-0.13606174604151433,-0.06810165892572353,-0.14388386274720508,-0.0645054893858129
