,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,0.4468707686063503,0.25928590375254174,0.13588246065976672,-0.0045772838973585275,0.19932039185916445,0.10813689057419425,0.12835632852130993,0.2590131076896547,0.39827533393531583,0.3527734591939774,0.5936096367365514,0.44969609273499317
ECMWF-SEAS5.1,lead2,0.43582398016930546,0.39951493974615826,0.055189938079251925,0.27182261862943097,0.27489883627245965,0.11708518576761205,0.16351269331849363,0.23752718508115817,0.09533740525083285,0.33894702298554635,0.5079397438642902,0.5405435900229684
ECMWF-SEAS5.1,lead1,0.5610552457195469,0.26236157686065587,0.13021551209961887,0.3634713793380421,0.20992633428768107,0.22128399650651956,0.10437180841209977,0.22532291102202837,0.28596687554731687,0.34076668342642014,0.6278031967369492,0.4958141197790985
Météo France-System 8,lead3,0.4225314822695709,0.2674660830845111,0.031051198502589316,0.11459892075539442,0.13012162247664508,0.0229401802353669,-0.0046699196174334,0.06299769590700842,0.06936768173385052,0.5388967655532987,0.6010129361665572,0.5530252363179871
Météo France-System 8,lead2,0.4252528772614285,0.23446891412781146,0.09684724412764756,0.13230688470994986,0.14874925910933226,0.08578693272861335,0.19404085747695593,0.2849787136109488,0.37930120699625625,0.5929500922177651,0.6366754454634503,0.4170724511021297
Météo France-System 8,lead1,0.4252550692363819,0.2881009486032446,-0.0033412138058297324,0.1225812796210888,0.17047031949786,0.30117705921480714,0.18930953387679844,0.28692140343297157,0.3192499315059761,0.42773159370485087,0.3792209141220596,0.4985998376811849
Met Office-GloSea6.2,lead3,0.5197930323252149,0.2651287856164961,0.08539779656597758,0.05563314898781548,0.1643700422801122,0.2930079413050283,0.20084909926038433,0.20066279743773843,0.13541755758808066,0.37275460927358767,0.5214727803472902,0.4855172339956395
Met Office-GloSea6.2,lead2,0.580851158842464,0.15196603706491021,0.1118814784440068,0.0684859196577483,0.0905124793516212,0.0938390905043016,0.214756176644323,0.13632304168265078,0.3737177451288886,0.4706861643579529,0.6298792467505187,0.5818289469777848
Met Office-GloSea6.2,lead1,0.4233387207725891,0.3472613088254435,0.1298497697890533,0.14121112709647085,0.057281776736074916,0.16367606638499063,0.25206669211100846,0.2611570264750713,0.3543104655339536,0.49259312786476467,0.5618657090544118,0.6505466339163005
DWD-GCFS2.1,lead3,0.3881841144573547,0.2779637396072098,0.09251674452804043,0.08712393862484323,0.29622216529949946,0.11697875663831665,0.14698595490379884,0.18946217053814907,0.10434826536507012,0.5017089014515147,0.6096834515399607,0.6205079268250768
