,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,0.039284612949906345,0.08348060748642842,-0.07359590377210391,-0.04933804824766045,0.10166297689046885,-0.06416980625394035,-0.040545358239711046,-0.02272185467471783,0.11225309384145574,0.09090089210856145,0.16223893930293326,0.0807952114011636
ECMWF-SEAS5.1,lead2,-0.03617093638538966,0.10295828180518447,-0.10837175257642455,-0.06531855437524808,0.08674626989384333,0.001909811640873858,0.00843135062754407,0.0630709606932576,0.0070612034652180015,0.05429152910372059,0.12398318897620991,0.02102567174111326
ECMWF-SEAS5.1,lead1,0.07987772540168475,0.0400814528197434,-0.1739792143921328,-0.013761671355059983,0.13816444240320774,-0.01121021338289326,0.10167061060546835,0.0023567869556372413,0.04596828503574736,0.07683983856647299,0.11612583115729562,-0.043073622455022685
Météo France-System 8,lead3,-0.0455631353523838,-0.04902932294011286,-0.002066913482234987,-0.009020423705349955,0.08786039374626818,0.028204755181245964,0.0635098616995398,-0.007020044437874818,0.07568652537549854,0.017515541396304575,0.05807803631988611,-0.007891357822795922
Météo France-System 8,lead2,-0.04558502875629786,-0.045998770665535794,-0.10692839808178566,-0.0701592638225103,0.02960245254243613,-0.008995601005591736,0.09875039355928193,0.07678073173594671,0.04981029120107154,0.05908161593188043,0.1772307268689552,0.08034857028998393
Météo France-System 8,lead1,-0.17179948936208578,-0.09176568544692984,-0.08765605800562987,0.00038551778159980315,0.07537096897654456,0.07974182772493053,0.1346160587295925,0.03288432102579113,-0.022185661013359934,0.1951081932274242,0.03729194538900681,-4.779392158707421e-05
Met Office-GloSea6.2,lead3,0.001255463862409018,0.03140119647146747,-0.030109136939041135,0.014219706834530492,0.125602693219274,-0.0312739922962058,0.03188765540699343,0.04084490628268449,0.03338474973514431,0.06899135574137628,0.12294572192353638,0.08620582616436802
Met Office-GloSea6.2,lead2,-0.002797826911614058,0.023181321231816612,-0.09535189319370346,-0.026759166931166648,0.015521107374180712,-0.011611946109895448,0.04362042548729077,0.031745026149645784,0.052910649606942355,0.059411172004018624,0.07637597226953853,0.02697118056668246
Met Office-GloSea6.2,lead1,0.0300447426699365,-0.0701272703952924,-0.08361698639783019,-0.13286750136809986,0.039001565811022945,-0.020606806279080958,0.0059610813553460556,0.011344879315521935,0.011029355886627405,0.059311696634819826,0.11479560631566377,0.055082435982906706
DWD-GCFS2.1,lead3,-0.030499856687420824,0.03984185572238684,-0.04366777859768162,-0.0034815378922081527,0.020261791876015726,-0.13332377664543837,-0.15893188942642736,-0.007941132793194966,0.08130549725572214,-0.04322753720564697,0.1582760056044965,0.03940051007724125
DWD-GCFS2.1,lead2,0.010722956391679606,0.07553004656049887,-0.07936669056605039,-0.04532705338851237,0.05090914538992636,-0.18179724275252374,0.036245749547109955,0.027324883844138295,-0.02266328808361103,0.05321638589034762,0.01888985192331041,-0.013566984428815756
DWD-GCFS2.1,lead1,-0.051491659623799736,0.11071389680274418,-0.08862164840479254,-0.0050017701767976425,0.025408729013653836,-0.08711419842367422,-0.03425303240435737,-0.011770696808748347,-0.002031439168035874,-0.09116995501425489,0.02787432512937351,0.031040485222497253
CMCC-SPSv3.5,lead3,0.032373848125049065,0.07736375414922743,-0.04291822497767376,0.04481594099287452,0.0577662576556706,-0.017534980893544966,0.09234345840305509,0.04799236286114914,0.05826630990403325,0.09273143003753426,0.06677421463985965,0.11906752454963838
CMCC-SPSv3.5,lead2,0.06656146105726184,0.0915667595901995,0.02774964942005524,0.0031564390657239532,0.09947445384888945,0.05173315727485262,0.08639938122894736,0.0386315165071123,0.049446743602769114,0.013431466000856679,0.16719204124495068,0.05658144444299663
CMCC-SPSv3.5,lead1,0.056817424474131406,0.09273498665019161,0.028372636161774493,0.09167430408855473,0.1086873268490278,0.05223842329333407,0.10135111172367929,-0.04404711740640678,0.023838367132853824,0.16067746034910033,0.07351164996990989,0.10308266108341332
NCEP-CFSv2,lead3,-0.19064076888567663,-0.04601760447598147,-0.22538759119964835,-0.006710169820610838,0.024594496282949522,0.007319999136684733,0.061663551397992136,-0.0651429685664361,-0.012906162108693248,0.06553517260088279,0.05901669290100568,0.04679132250878451
NCEP-CFSv2,lead2,-0.18535663417215972,-0.0901809697766427,-0.0375637153696706,-0.02459651993383609,0.12301304528153331,0.026216576852653325,0.07656051703023964,-0.01591570885446496,0.07130341576385579,0.019972116398452696,0.08203370411341945,-0.060684690923398975
NCEP-CFSv2,lead1,-0.021010369723342675,-0.039526768745429715,-0.09314088547062423,-0.06717195063340096,0.01891237930163392,0.007532959738265523,0.02599053363127054,0.0480938988586155,-0.007265887188120384,0.020434062753711787,-0.02006105663780286,-0.02832258699727697
JMA-CPS3,lead3,0.09615597843281128,-0.04500977018858426,-0.08371064769747566,-0.19044849269737713,-0.07741119804109248,0.11637930803886191,0.014455252477692703,-0.09186622823945258,-0.1684015512497587,0.06496127390926132,-0.1351824519935283,0.11198212418510989
JMA-CPS3,lead2,-0.15429705213408088,-0.008961336697308071,-0.1530838797985806,-0.23913805566656887,-0.03339559249149653,0.01553178376703078,0.031440881412261014,-0.09286977610674467,-0.18148526249219057,-0.15031292573824506,0.12917229837825223,0.06374582705843934
JMA-CPS3,lead1,-0.10187821140237378,-0.07719938661127622,-0.2876210922901084,-0.0805036233115538,-0.011400929795571746,-0.13315877352352312,-0.17045342745431855,0.0066491245883820655,0.0019577389690139148,-0.010142303093506434,0.11301257832414327,-0.20077396982108217
ECCC-GEM5-NEMO,lead3,-0.15243763860453713,-0.05987865143282302,-0.19891611113334945,-0.04155093717031914,0.05585137999642299,-0.05156573874260721,-0.010977593424213181,-0.1722289345371618,-0.27360728008910135,0.0764900512003888,-0.05567920049853715,0.02223070087029539
ECCC-GEM5-NEMO,lead2,-0.08508724100557609,-0.04101564934574518,-0.18152023985745247,-0.05512292108298477,-0.133100967651923,-0.1497573912088114,-0.2060607686755791,-0.33378499096812486,-0.153286211903383,-0.07689065752131831,0.06921698189236022,0.014707416384787283
ECCC-GEM5-NEMO,lead1,-0.0338793422732132,-0.24208747179006898,-0.16732884160332406,0.019246321616798855,-0.007551252855559414,-0.0393023289459899,-0.22060578414367119,-0.03524631205749663,-0.16716784077002764,0.11175827947268699,0.12420332914131502,0.12315206688061991
