,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,0.10452837524185,0.003029121100904638,-0.04756538094495063,-0.04295831225194409,0.011732630297795565,-0.008998846505546523,-0.010503878522170232,0.017001989595901174,0.08771158527181235,0.07804900569680824,0.1946471354932871,0.130346915629893
ECMWF-SEAS5.1,lead2,0.09413406471208181,0.07608717736401,-0.02562015313998535,0.041246813115365814,0.009572040409744319,-0.0236777272163321,0.02501733009574567,0.027343601441580045,-0.038574381141904805,0.06961490867474664,0.15086277478117074,0.1507574750482956
ECMWF-SEAS5.1,lead1,0.1767246659111639,-0.009284955050579958,-0.010544037175239707,0.0720870739045996,0.03143948985407956,0.027995754057716666,-0.0031743987268316827,0.0028542103084292143,0.021048408021329342,0.045434409146079706,0.20297971625161448,0.11360858487583
Météo France-System 8,lead3,0.07879136626482379,0.025819707976578794,-0.061762808075056755,-0.020427604108481545,-0.03549052280209886,-0.07647344180951464,-0.07348396813092675,-0.031419816796503505,-0.01604482549769619,0.1353048688241741,0.1876273238408953,0.1605956680237221
Météo France-System 8,lead2,0.10322806943851487,0.0009215076356262293,-0.00964061109271142,0.020829119702302393,-0.024031457499045814,-0.043177248577634046,0.03323730476875357,0.04266089854789721,0.0736831976282454,0.16625644902370335,0.23050559272100973,0.11614883517950819
Météo France-System 8,lead1,0.08926166707934213,0.0416750716078456,-0.04775395586356756,-0.030020004016757112,-0.028900308465161558,0.04815767813656033,-0.015594049181248522,0.030887957946233835,0.04906111076334313,0.11763548478522937,0.08698183683332433,0.1455630984126131
Met Office-GloSea6.2,lead3,0.12825252084342437,0.012938564678620246,-0.029298488660792335,-0.06939032148228112,-0.018782010070638396,0.010370983031041156,-0.006400149805020404,0.01569163645077152,-0.0144862374884875,0.06834493534123877,0.12111364286196663,0.11402648389876809
Met Office-GloSea6.2,lead2,0.17171570251152138,0.0016491541882435205,-0.035011493029188115,-0.012886915343069473,-0.03422111717966731,-0.026849188165908203,0.006654938341378144,-0.005630590864478895,0.07545931571936225,0.11188676408336712,0.210746578454442,0.18048488218319605
Met Office-GloSea6.2,lead1,0.11383699997782379,0.035563058349782566,-0.016494352474867642,0.006551149374373225,-0.07186784896910649,0.013642090198131432,0.004139139509949026,0.035825591098546744,0.050776567320373917,0.12813187728789122,0.17069314333377078,0.22399802316381154
DWD-GCFS2.1,lead3,0.06251085331808913,0.012398154707223876,-0.03771137411487992,-0.0123686428006503,0.06261823107867363,-0.03230240376260429,-0.006930803859022627,0.007178790955743385,0.001357806291622558,0.15040154891341237,0.21060942526421284,0.18851838887747926
DWD-GCFS2.1,lead2,0.12359249434533895,-0.014464807489587459,-0.09571339473949002,0.05390926006588606,0.05586204940210015,-0.0557012397248526,0.008383602705650911,0.003677159469236024,0.05187758878175548,0.1583391231206943,0.19394492237845307,0.16057447732189686
DWD-GCFS2.1,lead1,0.1330657867154411,0.002474499704075249,0.03468528347710814,0.01742051988291076,0.0006046850891316062,-0.021874575279280925,-0.015964908953566784,0.002245385442845863,0.01580335858239723,0.13568586592780255,0.17968677385420034,0.1531441913033709
CMCC-SPSv3.5,lead3,0.12209495611354915,0.040609900573850805,0.007955891074887957,0.06577772751443904,-0.020994391755840072,0.007112585532963322,0.013274487209045671,-0.022920623582813122,0.035858964601350074,0.07975954072283391,0.0926026970110595,0.1707855876070899
