,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,0.03440201574444046,0.062142862338306896,-0.0414019123885372,0.11928144624741266,0.2711878917725218,0.15541646014432559,0.07825473133797407,0.12113268815500537,0.4820827799534933,0.251408678215905,0.3099173554247453,0.23001170703331586
ECMWF-SEAS5.1,lead2,-0.06386994915763558,0.18209051653355748,-0.18997265270094618,0.14912201582386062,0.3280128370057832,0.11793761112026648,0.2058924609041342,0.37921339538383636,0.20105935715602502,0.2245263591607208,0.22171167950126497,0.12717410878835314
ECMWF-SEAS5.1,lead1,0.30113324488480875,0.07987330842768943,-0.3050027838600319,0.1631347196755945,0.44055864197808237,0.1927450537507891,0.4130133552950409,0.20780309649920833,0.05718261080520152,0.32287954745358244,0.28656243601555476,0.18775670554617263
Météo France-System 8,lead3,-0.24961019392621206,-0.11220300584755905,0.11767689389060143,0.23945215120525357,0.12741507712964803,0.16018826525029933,0.42496668130506554,0.21355542474041397,0.3563649790722496,0.1262116355881652,0.04720856642649015,0.12276534667131395
Météo France-System 8,lead2,0.02612822009440999,-0.13864848531678903,-0.06321557910275777,0.0034689380504159145,0.19402011670484598,0.27521544590630753,0.41552616250898666,0.34379847688705506,0.22575596210316634,0.15340880813963684,0.39687384758793953,0.1713954956743368
Météo France-System 8,lead1,-0.1778343217775588,-0.11152312363471141,-0.18827654151886197,0.19113754415077128,0.3543946071611941,0.34555378135473697,0.5050664447824451,0.27473138845724443,0.008176604767032847,0.45616918052772853,0.08366016910435956,0.16344829987659829
Met Office-GloSea6.2,lead3,-0.0985610385518654,-0.015818076031814343,-0.13379572219080366,0.0380605651411796,0.23654653973987488,0.21556542857206362,0.15314312500009314,0.2131990271943742,0.4501972679808961,0.3306286706603717,0.13501787716285304,0.21134586794935584
Met Office-GloSea6.2,lead2,0.09741067645260228,-0.019590910200992087,-0.2809188679768613,0.15291763768664635,0.2411529447558913,0.2466686401708992,0.2565364457433079,0.31921803708642493,0.19448244727813013,0.31021388394854293,0.04498102695448776,0.028044669354191542
Met Office-GloSea6.2,lead1,-0.05192621620372532,-0.21362904207805453,-0.19135845564433285,0.053991732101866884,0.2568493191820539,0.15011264634021268,0.2699516049602051,0.27484810557396866,0.168816640039585,0.20405397423129998,0.17512859395105992,0.3728966255211154
DWD-GCFS2.1,lead3,-0.06319006999286975,-0.04387040443552905,0.11326757325898015,0.024864304853211755,0.11529736493453355,0.027592034321199808,0.04722536885230267,0.25809361227533,0.40624624367247036,-0.09974131096456944,0.21192671422358256,0.15398145857302853
DWD-GCFS2.1,lead2,0.15290903456520294,0.18461452953160426,-0.14206352227377983,0.067007805521245,0.193509490482785,-0.00017628824687239962,0.3455780170046235,0.15267168473759077,0.025449866777109902,0.10125088140703971,0.19269838683650473,0.022409051566228317
DWD-GCFS2.1,lead1,0.008298978616363887,0.0920551604755095,-0.22081506522290828,0.20837990162801584,0.29439270896513503,0.1343505896650196,0.2426380109090909,0.15373028039351305,0.08459340560332454,0.09784847881805005,0.11513249661950838,0.2990833436670177
CMCC-SPSv3.5,lead3,0.1491258436457097,-0.11621485806719513,-0.07875317597035937,0.14832584266127352,0.06311281431027507,0.20179485828512678,0.33964089523107555,0.2470710424678047,0.2638686574191059,0.29004287527389433,0.20011565080368562,0.21906940342048126
CMCC-SPSv3.5,lead2,0.1580019831020775,-0.03129420029388925,-0.17783971770191298,0.04822358333649766,0.36476321193127376,0.2856526732098263,0.34149066926277827,0.1931278894514641,0.04504124743062029,0.14532974055644912,0.23383659056346048,0.19151160250453636
CMCC-SPSv3.5,lead1,0.026775136053036913,0.11234827302335443,-0.08140106864978199,0.1932610383509685,0.3273181672793957,0.2632280868170677,0.42308869319666254,0.20240940038864114,-0.05313663447095315,0.4175954406714428,0.23087771053851602,0.25085898667700846
NCEP-CFSv2,lead3,-0.09850945683487078,-0.2545857615373072,-0.2891552541892956,0.06917774132944708,0.17288532968483425,0.21384933056024458,0.3743971485417737,0.18829747927294263,0.1267410600946033,0.3054980858227452,0.14218300323714922,0.13173553603814878
NCEP-CFSv2,lead2,-0.23551814371293706,-0.11391941799628659,-0.05963820716945709,-0.06326148838024731,0.3125041576770272,0.2743376005318869,0.29440823518000514,0.2262579603700786,0.22862727503994645,0.1751352299445332,0.16146717480389638,0.09698427752962782
NCEP-CFSv2,lead1,0.01350467684475677,0.05458393889378775,-0.18864138503847444,-0.029955080048530924,0.18637508651908252,0.28237820696477006,0.3414975744746726,0.2516837991669599,-0.016714696385067628,0.15731984161712254,0.1270627392528902,0.1262259220357318
JMA-CPS3,lead3,0.2462314697041037,0.07319204615897286,-0.1120284591821436,-0.038031407567589715,0.16091056626975633,0.2946232706705231,0.24155444715532925,0.29872232236071905,0.06930242268758331,0.29493582315361605,-0.008926605109102004,0.31305673948510243
JMA-CPS3,lead2,0.04194434759507249,0.05968635636186467,-0.297209062567427,0.14251109615551671,0.2089185555095721,0.29233936591719323,0.2868869937040279,0.11923502533468423,0.016754301964661766,0.19592295955374808,0.4689528155878217,0.25421728352598133
JMA-CPS3,lead1,0.10254295564172644,-0.22755825773230084,0.10981042890104578,0.12000451239225288,0.2862164996887981,0.22831070512351667,0.05659090591648427,0.3277818052422415,0.3191301180022567,0.2775212993923986,0.2578208122157066,-0.10441047740911176
ECCC-GEM5-NEMO,lead3,-0.11574144323413751,0.03806944838412666,-0.1463595245821113,0.15871299660008123,0.25477777934831697,0.20300095040267477,0.3654681013396848,0.019451215101518135,-0.06834410975609097,0.3882687209462832,0.11067481289634329,0.19931344670900397
ECCC-GEM5-NEMO,lead2,0.19543614357060426,0.1336161282053863,-0.022366559227605116,0.20568572006867716,0.24161657310001414,0.0061917145139360604,0.09738755843481241,0.06283832193626437,0.05618018028975462,0.17337332064491928,0.2866907928697672,0.28690357910983305
ECCC-GEM5-NEMO,lead1,0.17405672871445318,-0.09488871835003429,-0.0866458121896512,0.25323488779001774,0.1719275240544563,0.22152072389511737,0.1419681462217446,0.39193353691488175,-0.04931206951928605,0.3684628785246003,0.369389161123641,0.37730774811713935
