,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,0.12725483596552445,0.042307585222339225,0.08852798686852235,-0.12326445198623524,0.18479286407564824,0.021560685825218775,0.09833328928479128,0.21247146865103336,0.29878484932202926,0.17396894135935925,0.13291037849336976,0.36765651663963433
ECMWF-SEAS5.1,lead2,0.04616650517804048,0.16818376924403866,-0.0824334283393818,0.17479372320567058,0.22050188456722353,0.11180182073974841,0.14974506188071368,0.1047275041679777,0.07812557546398202,0.05260741655042312,0.10973223776463699,0.24357833818327398
ECMWF-SEAS5.1,lead1,0.19711906193614653,0.030161604292876513,-0.026090969200468245,0.2694850769362875,0.16387938057596232,0.1718838884431081,0.07502148727158757,0.13524400372698897,0.1441580929852063,0.1561759356003809,0.26366269247263324,0.3589897947399213
Météo France-System 8,lead3,0.11332348259922319,0.029760541192570666,-0.02152319219025723,0.11095093963227255,0.12035007529644196,-0.04370517255561475,-0.05668409422882707,0.07228760158806961,0.1769692621029334,0.24602832496633695,0.23482905604867615,0.48214963059072286
Météo France-System 8,lead2,0.10744072618036636,0.14117012180254843,-0.09444838398430268,0.1554375721522066,0.08641569766242499,0.01716973210693522,0.19494481791485302,0.201585077433278,0.2989690531276217,0.39768712990435146,0.43850810505253385,0.18517232729860342
Météo France-System 8,lead1,0.16495811370342744,0.1589988497709591,-0.056444150708569535,0.1382380575130441,0.20475571433723241,0.2559054358527313,0.20202627334730466,0.23756984410471152,0.18552658710769604,0.16157376327925407,0.13510578960223507,0.3177480057190917
Met Office-GloSea6.2,lead3,0.06761818947521313,0.0442174677836178,-0.1589982828147425,-0.0006209592925018617,0.11728324607805776,0.14797930111730023,0.13407936165911608,0.02085229081697614,0.20536613216002703,0.11584166438518616,0.034925108858134914,0.3575880983537378
Met Office-GloSea6.2,lead2,0.2764554913402632,-0.08093283917558096,-0.10120904755254999,0.03980612717766033,0.11175108735510095,0.11288837901921585,0.189402768390175,0.02192417589688144,0.2626938398406604,0.17410096565103464,0.28572390501871076,0.26067618708263673
Met Office-GloSea6.2,lead1,0.09440565525918501,0.14649364532745734,-0.024278418995695265,0.12702013674191628,-0.0013756267518305538,0.1644445972015108,0.2082908573553434,0.2460242284584862,0.0836928346428092,0.1740694393603636,0.29464283414118525,0.5377781428052211
DWD-GCFS2.1,lead3,0.04165274359932162,0.2042565860355746,-0.033714765892027314,-0.039935259552395866,0.2027087661285781,0.05929438337109156,0.07382660612338839,0.09177254925399843,0.02998033394231412,0.33996240232298974,0.2352492609785453,0.48921726454080383
DWD-GCFS2.1,lead2,0.08551224558299769,0.11943146601864105,-0.22473180628813597,0.30919307258103906,0.21036217465193008,0.05551667844298655,0.22231295106232885,-0.06898562928202535,0.1958624975775077,0.3159088294259229,0.23353091142880358,0.23909339268149454
DWD-GCFS2.1,lead1,0.19027966272328262,0.16070250669259767,0.0005573038892988783,0.33875544545355396,0.21341129560292132,0.1029336412771052,0.09527684475790783,0.08071338957688351,0.14283710113810386,0.280005099645363,0.2637727343443359,0.3221292313345228
CMCC-SPSv3.5,lead3,0.061644973558672454,-0.019161973128379126,0.08362261713055667,0.15638571495029263,0.08456837692935769,0.15508195924073426,0.16195375347185986,0.14002150171367328,0.20330521468129828,0.1637609526988441,-0.09952201930769557,0.4584592489005213
CMCC-SPSv3.5,lead2,0.0833451682325716,-0.00016966366432365852,-0.013948531013424274,0.15195260134510044,0.2091950551412986,0.24819162660912444,0.16505807625156113,-0.03434056134060671,0.23641780622175873,0.036701259934901635,0.27094971275431307,0.1565689156806355
CMCC-SPSv3.5,lead1,0.15499372804391773,0.16107580235292973,-0.08866766746058677,0.1997103516681455,0.21412020436203388,0.2454207106997957,0.06499274588633547,0.04697129585487482,0.3036620534165138,0.2693378587145385,0.17097526135813948,0.431215438688804
NCEP-CFSv2,lead3,0.24537142549735075,0.07993203143604344,-0.016255868224717578,-0.05089586186127805,0.11003561592149104,0.1822869738037797,0.09731409553862469,0.04381095746048912,0.08749367958257875,0.26696338400597314,0.1476702728761332,0.5111304547067979
NCEP-CFSv2,lead2,0.04532631607791684,0.05136790363655217,-0.06698285125959383,0.05013873491882143,0.18701079251283403,0.18356388782036268,0.012538039798865913,0.07263494655715028,0.12601230048494852,0.004460658204130333,0.23803930654076577,0.38991120060196716
NCEP-CFSv2,lead1,0.1375533806352637,-0.07167498606572513,-0.21785063735117297,0.17967167126247113,0.18822110343087825,0.17719910642461104,0.08093752615601488,0.14197948947334849,0.05035276867235865,0.0502344904370403,0.43273174044757634,0.31001239100172384
JMA-CPS3,lead3,0.1455599549595737,0.1450202923127533,0.06291388387524302,0.00149867107313769,0.1568140654504757,0.24842760350981516,0.2634938854820499,0.045249653089435515,0.06228477597958611,-0.023640286984308406,-0.055203411619142786,0.39970585304081135
JMA-CPS3,lead2,0.019673875230572267,0.28599097275124885,-0.2128263609937697,0.007781677878024646,0.10751921182349773,0.2281534835048758,0.13068152159023783,0.12686403127894835,-0.11271543748211062,0.23118654161379942,0.2839741449061354,0.06672106262055523
JMA-CPS3,lead1,-0.06576933137502897,-0.13455986389628782,-0.05824757385338394,0.19546158160717372,0.03336318264209652,0.2918758715821674,0.11069539915274668,0.010243110799852587,0.1665376263321754,0.19879640129106615,0.016824390868875185,0.31274311725034803
ECCC-GEM5-NEMO,lead3,0.22872289433836937,-0.03888437920682636,-0.12198559894856809,0.1027963883170447,0.16294037578441978,-0.0280146485407279,0.129364690226175,0.06762152922083184,0.2979173195705464,0.10033168945205487,0.027547257037058986,0.34748985097775337
ECCC-GEM5-NEMO,lead2,0.09132545129960425,0.09166079268879866,-0.032238711619948214,0.2741052244094182,0.029369430269775558,-0.049033237916946124,0.05044552389694205,0.2480720904559506,0.00301503676955487,-0.004739088413629601,0.12947571431588667,0.17331861376721736
ECCC-GEM5-NEMO,lead1,0.19026387312360582,0.16670014976027328,-0.09846615922985519,0.2528082744976254,0.0664615164885609,0.10976412415721158,0.15872001750824263,0.08481414902014758,-0.19809054458482128,0.09040730716178864,0.21774597296617396,0.3004596211053918
