,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,-0.045682827259190484,-0.07168037718463524,-0.147776412850315,-0.06881462517903777,-0.004929170485348201,-0.03567058395294698,-0.04535784561898244,-0.09292251364735965,0.08882807937175721,0.050960869910781054,0.037371247556470935,-0.05527118214781928
ECMWF-SEAS5.1,lead2,-0.06494380188178116,-0.03092995593080621,-0.14349373709129296,-0.12772829181095374,0.05187094272382914,-0.04338205507242751,0.015591776293478504,0.0468183859625781,-0.057007970944883184,0.016581247323764925,-0.00342170548991961,-0.07841445277368336
ECMWF-SEAS5.1,lead1,0.059289207392508064,-0.07402803107172462,-0.2679754196727563,-0.0741139313218032,0.1349764212207209,-0.0136531989160335,0.08394547094774925,-0.06234391709690574,-0.047776202282956544,0.021806428035458524,0.021643417525152423,-0.03781690086512214
Météo France-System 8,lead3,-0.21320360079801623,-0.18866946230056034,-0.08358879460669483,-0.03468156333707395,-0.02761524185319483,-0.007204133398828266,0.06665785984804858,-0.019774569174396822,0.05641114758268373,-0.015146006722217034,-0.057528021971027826,-0.10187383743752221
Météo France-System 8,lead2,-0.06728410854591746,-0.15635780957854675,-0.1438831684072807,-0.10252948137302775,-0.04325072242269766,0.04414067461659313,0.10148526064675555,0.022788578203474238,-0.02977412567300049,-0.008723959618687799,0.1077710819098227,-0.011367703441311938
Météo France-System 8,lead1,-0.21452148491068043,-0.1557360554126305,-0.15375887507304084,-0.06737004778353668,0.04921808676361343,0.07873468620261447,0.1500598671002605,-0.003456447002242955,-0.10002966819880596,0.1272064543163271,-0.07282228664121268,-0.04057090295969354
Met Office-GloSea6.2,lead3,-0.1653023916105025,-0.12393529087314663,-0.14566620042191594,-0.10552022324510674,0.015499064066052157,-0.022282228494779798,-0.0024876351589697217,0.0050386510173681355,0.061010288825025835,-0.004535881103961297,0.00922826270057656,-0.019364809715711237
Met Office-GloSea6.2,lead2,-0.07686363114295604,-0.09692069463099441,-0.23227848819502467,-0.08017791639543877,0.004561200296256278,-0.0018300181624243512,0.012142250229284102,0.03181929585391647,-0.03578115944992116,0.06030991512018282,-0.02951240139152146,-0.09539699983038386
Met Office-GloSea6.2,lead1,-0.06730866839031653,-0.15391843827114965,-0.21804024898856356,-0.19865833418445528,-0.005918097618865769,-0.04214239251008068,0.02345244782423552,-0.003319571433146957,-0.03839324455614481,0.016553912141864333,-0.004393075537014397,0.03242756121051056
DWD-GCFS2.1,lead3,-0.11539115211936189,-0.0803010182913197,-0.11302685351905313,-0.10326492531079813,-0.11304925019004944,-0.16124595718022097,-0.13455758377131388,0.02180629174286496,0.07633281705803095,-0.0973718522565031,0.01959798115480685,-0.02880968600800088
DWD-GCFS2.1,lead2,0.001946961941119815,-0.04308674300318195,-0.17488597380039222,-0.11041008092404507,-0.032282164721286255,-0.20820632320391655,0.06115896787359409,-0.013761116724214078,-0.0868527213349628,0.0030053201862135235,-0.024774071346896454,-0.1021961344902113
DWD-GCFS2.1,lead1,-0.08664265744530043,-0.021492588337158544,-0.2403002596449728,-0.053511215619128014,0.015268866963858938,-0.1386588464278169,-0.02955982763032918,-0.047674164549288245,-0.047636762683068615,-0.12461258343162145,-0.049250430802210046,-1.5600475912910883e-05
CMCC-SPSv3.5,lead3,-0.046812090706944885,-0.1091884510731287,-0.11810490604412426,-0.031863031728009736,-0.07757872798701304,-0.006520038700380542,0.10276301934198859,0.02516404586114591,0.038729559286099224,0.04875341144749657,0.024771293660611513,-0.008305691169952452
CMCC-SPSv3.5,lead2,0.007176065142855427,-0.05657125363357681,-0.11020951824502943,-0.07820374278901523,0.07542954559977931,0.07243218871249679,0.07074055953417317,0.008208525762488164,-0.009795859833082074,0.022087940987908325,0.04519411023927364,0.0048155432489259626
CMCC-SPSv3.5,lead1,-0.05812174027420986,-0.05239840157896835,-0.09485843872539503,0.0035891027778579216,0.06909525553506325,0.05229710293334992,0.09206133188127298,-0.0430655476764458,-0.09460746600732958,0.1311660023027468,-0.016166995788139522,0.044852350672634406
