,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,-0.06901277764894306,-0.0572775841717752,-0.05906470007596164,-0.08314171205383487,0.005612459596817795,-0.04261227905117715,-0.018817108809718753,0.006103419568798116,0.04176023558034883,-0.007289548642111427,-0.05643486794303168,0.052317723515545304
ECMWF-SEAS5.1,lead2,-0.07022478290791298,-0.0376797205932915,-0.06311404988055068,0.01194392098418432,0.0006718028994380812,-0.04180001884288549,0.011024169811760251,-0.026360529238729606,-0.047855345639586586,-0.03650402443667105,-0.057706565293234084,0.041792565677673386
ECMWF-SEAS5.1,lead1,-0.018688179225989258,-0.1102758532058485,-0.06990665561321896,0.029820948676105453,0.008684551027627857,0.013068238696393177,-0.020136366386470234,-0.016335175579472828,-0.0462297693809983,-0.04167067931012082,0.045151701144169644,0.07501763417561108
Météo France-System 8,lead3,-0.03283786638356643,-0.053513795392342196,-0.0836531213557329,-0.02518799024492726,-0.039475883193434,-0.0821868021480145,-0.08214069604574241,-0.044507377992441394,0.016183625769590967,0.013004766056123085,0.007915831593658404,0.1213171845300985
Météo France-System 8,lead2,-0.05365021405158455,-0.031361343288041334,-0.0664967146944317,0.009017732009972773,-0.035163630501590694,-0.07337055312419317,0.035302061640953696,0.01358820670215297,0.056429712216195374,0.09364179371657155,0.10780297335323749,0.015646408548296253
Météo France-System 8,lead1,-0.03961922453665872,-0.020713161669805046,-0.08126139435167175,-0.016259003241543803,-0.008885745579119544,0.03181180973262176,-0.01572021863706398,0.013285084670106372,-0.004515729398171638,-0.01828501097425518,-0.03335921907919547,0.02786065807438176
Met Office-GloSea6.2,lead3,-0.07337942689009058,-0.05982776240773878,-0.11632936572428029,-0.11196749714756268,-0.040270242487109274,-0.030728719563817074,-0.04401117709286476,-0.029683607106328516,0.007811395313935225,-0.061151132812118314,-0.07476817017592251,0.07863148697556609
Met Office-GloSea6.2,lead2,-0.008110572126653995,-0.08877658283039432,-0.1343563920030238,-0.02905244039237627,-0.036283162675161275,-0.03413232307493111,0.0022763038233945235,-0.07093319667292827,0.0436956034510913,-0.025311583233355923,0.04776925208932748,0.02409172897841551
Met Office-GloSea6.2,lead1,-0.045260557546271646,-0.05700536181230683,-0.0752229848513723,-0.009057513873605262,-0.09434586631331662,0.012409186598908805,-0.015651256181431372,0.028293807022073698,-0.0346445085105736,-0.009162240807406673,0.04172544695069056,0.1644960890616609
DWD-GCFS2.1,lead3,-0.1531376116385314,-0.03531791553362699,-0.10612625232976833,-0.06208853600486026,0.018649355509398575,-0.06222839799480346,-0.03333228127783995,-0.023548724298020858,-0.017832389336663843,0.05731573750686466,-0.00885627480596082,0.13902169995982136
DWD-GCFS2.1,lead2,-0.08819034872642242,-0.08739714896982735,-0.15971248947140815,0.03135178480601798,0.019863261704004695,-0.07669126988363138,0.005943753791321199,-0.07226415823349976,0.021662946410997034,0.06021218281586978,0.03010114759390334,0.028088882408121407
DWD-GCFS2.1,lead1,-0.04914528109966783,-0.0484464240935783,-0.049882324977035014,0.04970896180408983,0.0169142531474423,-0.03514629597350775,-0.02117405156026401,-0.001303269988956134,-0.012526633532348785,0.03593076767941138,0.043499755897077504,0.06382423280470172
CMCC-SPSv3.5,lead3,-0.04389237253946115,-0.0684709976553132,-0.015998962955529376,0.017505495688744523,-0.012773426648177655,-0.017330016539733234,0.011301741322491954,-0.006797212927585809,0.014444707278249286,0.010053987596308631,-0.12979578380349555,0.10359243351548901
CMCC-SPSv3.5,lead2,-0.05807705061338413,-0.054816379595468985,-0.03478466661271022,0.007415634392367653,0.007047129373402969,0.0142656918757196,-0.008006812820567685,-0.04819992875061567,0.057956840939839493,-0.03539605820656444,0.021270518375940413,0.00388473804834097
CMCC-SPSv3.5,lead1,-0.016862177991053724,0.01170091345742754,-0.08387608793707817,0.009196027149823982,0.009939584126196497,0.032744034129226905,-0.019595341342089602,-0.02252207697641227,0.0280183877606233,0.030015202035035642,0.00950627301723584,0.09264983762396785
NCEP-CFSv2,lead3,0.019652652784065108,-0.08224757377113824,-0.08623881449087503,-0.07145852097993818,-0.03577061179118928,-0.0007008922498204046,-0.01895402594752824,-0.07520052931196736,-0.02749251130440192,0.007086920991115541,-0.052053181172078106,0.1532219396028211
NCEP-CFSv2,lead2,-0.1094812929784254,-0.07817130631982415,-0.06595900092661473,-0.051673616273534013,-0.02024992411897032,0.0012235676483199264,-0.09192139183866582,-0.05497485287967024,-0.030063699196577785,-0.10174038046076682,0.032117924538795035,0.09551624392638837
NCEP-CFSv2,lead1,-0.04203657581364898,-0.12121344069853006,-0.136115645980945,-0.02000735557368224,0.0018956192993290035,-0.05521119241753446,-0.04918786209609578,-0.02364776092649524,-0.0460423766293521,-0.08526206559904535,0.11901446703706475,0.05604579445170407
JMA-CPS3,lead3,-0.1314813829878334,-0.08543994687655941,-0.1257375082412102,-0.23163896128351896,-0.08049543741833007,-0.02720615248794441,-0.027707485061841033,-0.19659537923494985,-0.1357171788194585,-0.22482321003821867,-0.1359002221105767,0.025277018005072965
