,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ECMWF-SEAS5.1,lead3,0.4482251519233952,0.27866315708598105,0.08619423455803384,0.020723172030294855,0.1322811832233071,0.26776771691636725,0.13917171272388001,0.08472583301120296,0.4553409048140071,0.06287813424883887,0.5579148593792905,0.31364402733243424
ECMWF-SEAS5.1,lead2,0.28800376560987556,0.4459005016519876,-0.05558698030296082,-0.05694299457550806,0.2527359726285912,0.5145770093137917,0.1972019621516094,0.2901149596333705,0.3913471980114007,0.15563550340743018,0.6383186385684427,0.36605834560835626
ECMWF-SEAS5.1,lead1,0.5121743837012634,0.43038012659984876,-0.2977554653513205,0.057499486502943516,0.3613693214359659,0.3207537926053067,0.44523380673238716,0.23419695527212997,0.3437160602305776,0.32777718056854727,0.5954601028831055,0.38506005491639506
Météo France-System 8,lead3,0.29882314994885517,0.08693348919809236,-0.0637794280986524,0.21643316677409277,0.0769844825056768,0.23217803403231738,0.41921788723123815,0.2359414147666614,0.3758827079369261,0.5391259343579653,0.40015063334229667,0.36221970594097763
Météo France-System 8,lead2,0.3826077777061389,0.18012592214424936,-0.11858486366707924,0.0924295780108495,0.3009183253617339,0.4322749678040394,0.48862131228803785,0.25162028288816113,0.4304628948209512,0.2928977419655651,0.6856097074278336,0.4412796508979203
Météo France-System 8,lead1,0.32983186094220246,0.16188255892524128,-0.07370057674598321,0.12400478112074174,0.2576554140731876,0.24741012462998366,0.1907120275068177,0.14059971868368798,0.32364534764266645,0.4934792391653875,0.5340569479178416,0.06179671221943443
Met Office-GloSea6.2,lead3,0.36028614669307896,0.612224406309413,0.2823754786457299,0.1154067221741611,0.38916563029223405,0.1919510504449027,0.30378531688155724,0.1247367082935289,0.3508442848903155,0.36115506026173844,0.6608828209204285,0.021789230570579028
Met Office-GloSea6.2,lead2,0.2663928438716249,0.5890490805615927,-0.1412566097824332,-0.013415046471244573,0.13815392353960754,0.3901536693431455,0.23227265690173043,0.2537896108203615,0.36454753067092455,0.09823287358162365,0.47089698443656,0.15060312072136672
Met Office-GloSea6.2,lead1,0.36693407112014925,0.38096022269043484,-0.009508624414339662,0.2060866814976044,0.24163274426048129,0.2802709575458138,0.14627150585203919,0.11443395656195277,0.4345572377035856,0.3888014256456773,0.44797412451858265,0.34444215382307886
DWD-GCFS2.1,lead3,0.2654075300110502,0.4052828072918125,0.05634460708255408,0.21122604193657574,0.1253804668080035,0.297649844085014,-0.04870781291590444,0.06780245723843423,0.46905614370570586,0.06912846190830813,0.4371775300066646,0.14025506476701996
DWD-GCFS2.1,lead2,0.5404998327456803,0.13059253289061584,-0.007987801300243742,-0.16775403161608607,0.30666729542219895,0.2505365527781817,-0.08309090130897334,0.14861636114783006,0.36113666577650616,0.20870083314582047,0.11257189643978455,0.017443715370300636
DWD-GCFS2.1,lead1,0.3601308108958048,0.37349675388530335,0.12149202074530113,0.10896303965811138,0.3532574259311908,0.2922085333831605,0.20069498501916053,0.12480341750634714,0.4342255065552137,0.12168847971463817,0.22995196218033787,0.17642560172247948
CMCC-SPSv3.5,lead3,0.3594678209520322,0.6777239453864008,0.06666799675343492,0.3698450882464646,0.27206636048824046,0.47796475745712563,0.1203620934232668,0.3821791246271684,0.3419424075976715,0.34573273945239974,0.46374085958843764,0.15764735814937245
