,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,0.1498298151139553,0.3579773199354105,-0.00640972055993412,0.17560904117141457,0.3909812371025784,0.05995400502903611,0.12511949811192744,0.20989164771142133,0.5158157229314342,0.25317657800789006,0.5041767886564847,0.3888941432369874
ECMWF-SEAS5.1,lead2,0.06843409342987568,0.35470981581600197,-0.07242306462615981,0.15058905252055127,0.32682573564307743,0.1759833981470538,0.18482870023003717,0.42283063618264893,0.32284768352472426,0.39429355412175376,0.49459866870230246,0.24149872362569327
ECMWF-SEAS5.1,lead1,0.3924749035038159,0.23384123497389825,-0.14491337889692918,0.16800591838393042,0.4006506511993263,0.24084982802068772,0.498698004917393,0.3079653867122047,0.357142300597793,0.4367469090128171,0.47338759262689045,0.17126469445502754
Météo France-System 8,lead3,0.006816257763292501,0.23080080146234935,0.2090101551784353,0.2490580578588676,0.34255917559601623,0.1562116741380397,0.39757996812349916,0.345669723710667,0.47288426125012656,0.29447837060242443,0.28749227300709074,0.15750109962697897
Météo France-System 8,lead2,0.05607552078030615,0.05369249597802318,0.009026246622160202,-0.0664142982129927,0.30935413707225984,0.21781493842941968,0.42986757741582615,0.41340156642448705,0.4713581697596327,0.2915544811918073,0.5540259055373168,0.20318779753373198
Météo France-System 8,lead1,-0.06540479996521183,-0.07209523995247738,-0.16133357857030584,0.3023567610628743,0.43690702520795677,0.3345699686997567,0.4855258999249556,0.3199964904987626,0.28199778994405994,0.6176478904445171,0.39165994513063507,0.19427108034029952
Met Office-GloSea6.2,lead3,0.19371531761717029,0.3057630326141666,0.0402493332935591,0.24294058893633752,0.41018034145375837,0.13480164378002726,0.2794271345493843,0.29126783279519025,0.38892152282013104,0.489388735579818,0.3676532490246286,0.23953403519501704
Met Office-GloSea6.2,lead2,0.3071710501528947,0.2360566630398318,-0.059419712443071274,0.20725833975302807,0.2091639457464462,0.19087730937020142,0.2613148328778541,0.3580844659058114,0.4583569043348534,0.3730817668617428,0.20135318883025452,0.15402919915575694
Met Office-GloSea6.2,lead1,0.22040722815494562,-0.014781582807992306,0.032829955633649446,0.03038124784014311,0.3637165150279209,0.19652390782105816,0.2687911562777252,0.344064555799792,0.39046808074742684,0.3359882815090362,0.389455827851873,0.3961703543932061
DWD-GCFS2.1,lead3,0.11695141808251268,0.21518263448712852,0.21120880890143096,0.179064636324974,0.24911744125014723,0.08042439766404956,0.010336714432768472,0.2573480641009391,0.4356043362049573,0.06483204826651523,0.3927563893678503,0.22372185079947107
DWD-GCFS2.1,lead2,0.20988660694622766,0.2805582235082807,0.07414154729199555,0.13052764625936464,0.26325564835880844,0.05603269550459317,0.30949126020616585,0.2833864812021779,0.24654911276287453,0.25459501285257286,0.2865138958723587,0.12986677214371647
DWD-GCFS2.1,lead1,0.08458180250657711,0.34991679450401486,-0.1337491879911671,0.2430369726909049,0.2682722187237872,0.10855635509133016,0.2542580436160985,0.2475868004144758,0.06799348569379757,0.21139438606257743,0.2809542381418425,0.2775830710029949
CMCC-SPSv3.5,lead3,0.26933948816987174,0.2944325188405477,0.10180731957033896,0.2703482872594912,0.385992237306871,0.17050354933576917,0.3265608968026349,0.3525443038976994,0.36398976899557395,0.4373494171933107,0.3622899078669097,0.3768995628514003
CMCC-SPSv3.5,lead2,0.29249022857382967,0.26943572336718596,0.21586250707677174,0.29189166771774533,0.4118624050876317,0.2173814042217283,0.41285711683758725,0.26065665266575005,0.3955762165880927,0.1878763296822473,0.4311177137547826,0.27362704979014424
CMCC-SPSv3.5,lead1,0.19992376250244978,0.42894721119719886,0.1798098712439684,0.3528792332704624,0.3650355698090536,0.294108580013723,0.45396959826768024,0.28658997763106797,0.17397305229642945,0.5399028260432208,0.35997127687591834,0.3171208607836468
NCEP-CFSv2,lead3,-0.04043051721040691,0.039047498355291005,-0.11448695575233304,0.3060748405002452,0.27435878202712644,0.13424636241696547,0.40306346617190697,0.12084249829375077,0.2152600785867226,0.4019226994532431,0.35206099169347393,0.3287492746443858
NCEP-CFSv2,lead2,-0.15357273126952267,-0.015490613881297997,0.07075161266006315,0.15280908899146578,0.2971978299171139,0.2201811278709963,0.34973806020105874,0.2610849794793213,0.3425560718515798,0.35411244054740393,0.3826607793415689,0.1234884272286272
