,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,0.43959409048151243,0.23076595648022963,0.11921556094491637,0.043553920635123575,0.17565250371928925,0.07296578793865656,0.14228442658917329,0.20700184734496874,0.39706378967650413,0.37325561229356985,0.5766875639278746,0.43912619680122833
ECMWF-SEAS5.1,lead2,0.44465824626868244,0.3847454088454118,0.04078450380872022,0.2106960276840038,0.28452668884326054,0.1473489238830427,0.19545810898397337,0.24461698065060059,0.08085985767705592,0.4027008433579848,0.5314175045072905,0.6082936619497809
ECMWF-SEAS5.1,lead1,0.562502673565687,0.23903860463955143,0.09458392689094935,0.375414270649277,0.18507101216736138,0.23249226465713044,0.0980687311896327,0.2242264106064005,0.25123917967430204,0.36183525586613735,0.6437684889645521,0.5328007925774362
Météo France-System 8,lead3,0.36947467037627657,0.2511448221355905,0.041945030131349245,0.16534384487534204,0.1609423694918853,-0.012119149578298922,-0.0066320515167468536,0.10980877208082758,0.13851070655796444,0.5907105517339143,0.5909058673032469,0.5694072849120222
Météo France-System 8,lead2,0.41765991778529443,0.22236149962278196,0.07535070086373102,0.060830069067621284,0.1362380206599691,0.0453964161953812,0.15800271086220302,0.2603080287830761,0.35355175609264894,0.5887747105261953,0.6365162515570268,0.46108435829650074
Météo France-System 8,lead1,0.4129354452155865,0.25526319747193066,0.0012011808216584984,0.16722620923642972,0.18968802156369424,0.23311046280852862,0.13186637249355335,0.22474457033820197,0.33371681095951145,0.41558475932268485,0.4136772198838891,0.546446008821308
Met Office-GloSea6.2,lead3,0.4784065470536086,0.2842932276523131,0.04205792480360872,0.08039013126496677,0.15372744303033142,0.22950849350980979,0.19539534835135366,0.22807485585260906,0.1424326976382911,0.4013978291089538,0.5182612283303324,0.512610694698878
Met Office-GloSea6.2,lead2,0.5716298474836808,0.12962193061500255,0.10042017549909028,0.0570085670062526,0.14256381180610098,0.07198881262355582,0.1793987298293569,0.14178301043694583,0.3762297073397074,0.4671918828967199,0.6234779757082891,0.623938579177356
Met Office-GloSea6.2,lead1,0.41268861498263076,0.3640542683369349,0.11895645507512624,0.12476247104121821,-0.0013183830391063345,0.1214187505076441,0.2792052152297208,0.30160534020689933,0.3590245888010475,0.5100189210044158,0.5545247247247305,0.6564173066440548
DWD-GCFS2.1,lead3,0.38423635331049977,0.29764665602455403,0.05663944084671741,0.05838916874855164,0.2589371249801557,0.17485442828993059,0.08338939919745027,0.14210186809181266,0.032977897634816754,0.49826735531396893,0.5921731175995179,0.6310125843625439
DWD-GCFS2.1,lead2,0.44451677524106525,0.22822616798567966,-0.05108661159660571,0.3023796932666753,0.28496667580169155,0.09102406270274685,0.24859195746882934,0.0968677917007597,0.2861660675724251,0.5450800491974157,0.5744633348801653,0.5204346172489301
DWD-GCFS2.1,lead1,0.49578531785153657,0.21004406952002516,0.19180822511663417,0.27576971470548234,0.11792790045961683,0.11403319597311813,0.11152261685789633,0.20570428707928787,0.2397890671899811,0.4888170315311155,0.5302054545018414,0.5290032562142432
CMCC-SPSv3.5,lead3,0.44260226242868245,0.26265987486415276,0.20884604735055007,0.2181659263046819,0.027079493050861294,0.10002722937511715,0.21731214784133002,0.1709841546683054,0.2887372541687888,0.36864032402099106,0.45100729443017346,0.6089193925070773
CMCC-SPSv3.5,lead2,0.4398999472911771,0.1529189403237924,0.18860612264942359,0.23890674969952266,0.13990777434475732,0.20721233189412686,0.12374106796681347,0.011658878588983006,0.3789912133073914,0.3662583429868495,0.571391815798818,0.5023275623270895
CMCC-SPSv3.5,lead1,0.5280613119629967,0.3658734433326577,0.08738660925235492,0.25645846530966304,0.201297142774936,0.1847564582259207,0.1047461180107329,0.2203843675384515,0.3045277844864117,0.5220281346524148,0.5008780864151737,0.5992598552988746
NCEP-CFSv2,lead3,0.39787146476261587,0.14828278911923043,0.12475235918571037,0.09500638386047663,0.07306734175112796,0.1827397894380209,0.10914320529349428,0.08572495450626784,0.1726100829760845,0.3917713468450482,0.4463674910818586,0.6079370581267367
NCEP-CFSv2,lead2,0.38144500846137147,0.16375084320604155,0.017621026027537318,0.09134919115721528,0.13097759347387114,0.2411909156713978,0.07078112570124603,0.0749056738813153,0.14227638646013013,0.2648234349436946,0.5718163829460579,0.6536381358134509
NCEP-CFSv2,lead1,0.5204458494850155,0.08328872912278606,0.006552867724535637,0.2401187749387706,0.12778545208929934,0.16390018732272357,0.02763168050980776,0.17277106018758373,0.06119775026064579,0.38450422992636574,0.657514439263806,0.5220318218426184
JMA-CPS3,lead3,0.40070227001185604,0.18113455993722954,0.13634581222942185,0.03505653484128541,0.10579541858354474,0.24859340660033818,0.11169663598326385,0.002624096427812908,0.045320183381453154,0.12047050295908186,0.4169778639008921,0.5209566985268528
JMA-CPS3,lead2,0.35435584325226277,0.3710948932524632,-0.05179119064609498,-0.023292845043243297,0.1567670460894003,0.09313417691830568,0.24593316909176033,0.11575922310901987,0.0847194927717302,0.38259345863796956,0.5030473242946167,0.2740185444313217
JMA-CPS3,lead1,0.1799046170956496,0.12862255018711435,-0.017525243133423993,0.17070308970643697,-0.03215236333307972,0.28878466081313864,0.04036347599994774,-0.0643959957371395,0.18924431232778818,0.35717406716528793,0.17291315402177831,0.5046171546007545
ECCC-GEM5-NEMO,lead3,0.33458142498640586,0.1234834039005808,-0.03889619830433284,0.11493641298646998,0.03974400811397031,0.09292340687829173,0.0096188971678186,0.014609926998104875,0.19144399113659358,0.35207647803322684,0.4706378638780034,0.43918654745863894
ECCC-GEM5-NEMO,lead2,0.29140625481942467,0.13678118410716444,0.10215537671543215,0.2441783820458251,-0.09489115563751761,-0.02351645494106688,0.1272234219405155,0.19895407316357666,0.10629621899829257,0.32501815878346463,0.3715918845376309,0.3450161774271152
ECCC-GEM5-NEMO,lead1,0.3856100919043973,0.24313054966106085,0.1938248395512582,0.27916983103908194,0.15508105015957369,0.0949909159357235,0.2204624218457704,0.13726468662275115,-0.01605281788113011,0.2765924490013063,0.4322520405927155,0.3998941204152439
