,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ECMWF-SEAS5.1,lead3,0.09962771983325103,0.14856448392637148,0.06002453507185888,-0.03094924678669004,0.03817568391891923,-0.05317241383004314,-0.03189000730161762,-0.028862722200518942,-0.03977779367017253,-0.047659909228118046,0.011802988853011462,0.128849552129854
ECMWF-SEAS5.1,lead2,0.07434773974572215,0.11568877190241568,0.10023928123594766,-0.010640637200217413,-0.032222954047313346,0.00253225359420442,0.0306003749031515,-0.06683415044815484,-0.05228308065871958,-0.010275523153020782,0.03823433528503141,0.16235823941311983
ECMWF-SEAS5.1,lead1,0.10672693093673988,0.1870617211020704,0.03645962397377866,-0.03123072940992403,-0.016122786492275543,-0.041213514777524225,-0.03080446230641478,-0.024312036244855072,-0.00531575298273575,0.024013488426836507,0.03980317889184551,0.057519310049015206
Météo France-System 8,lead3,0.04821550873593441,0.054503839214939495,-0.02222581548470167,-0.04471785141962366,-0.06405072658338504,-0.08684414574879058,-0.07011366433844511,0.01691960185360435,-0.030571171163777,-0.014029464857551155,0.03927890090549736,0.15729786100183552
Météo France-System 8,lead2,0.059109609085160456,0.10833352494618242,0.11751710126744967,0.015756296331855893,-0.0027829667619074026,-0.04298301896869754,0.0021617408969403476,-0.013519532047800509,-0.03752031654144023,-0.0993765983198158,0.04341787197276773,0.1323177374843385
Météo France-System 8,lead1,0.025499803996904345,0.09195123400749283,-0.006901485643933234,-0.03768696146101659,0.010473863137390101,-0.04862187750401961,-0.057476321984465555,-0.1309492312130554,-0.08701766374813936,-0.01268380702323436,-0.03805569032046063,0.10757375805565156
Met Office-GloSea6.2,lead3,0.0674890710803103,0.10356578001568983,0.01146482331695892,-0.048429780498033786,0.04928705056227998,-0.027234589826169824,0.040508724571792824,0.025598089736255106,-0.005289911279202236,0.005836302963367525,0.08818901030010948,0.11823297873860772
Met Office-GloSea6.2,lead2,0.11514166511817474,0.09098374278359497,0.10608240585219612,-0.09584813483045755,-0.04304664427488925,-0.030304775922670935,0.006965696125551819,-0.08807314071413663,-0.0324503720907344,-0.03100942470598633,0.09580532322306849,0.10119937064353372
Met Office-GloSea6.2,lead1,0.0449059774142837,0.10873727413152404,0.03351983587748015,-0.0035624564311111783,-0.07207653895795732,0.005956751412308943,-0.026321571389578406,-0.03866129995070888,-0.008701421904903923,-0.04295921022951212,0.10166566900979775,0.18536834018602644
DWD-GCFS2.1,lead3,0.12375263845204118,0.09467539831221716,0.02748975589555064,-0.047700404261912424,0.058664089138939425,-0.04211533597385117,-0.1265296920216862,-0.017455998414596014,-0.059857008446741335,0.056342518530479474,0.0868099054128278,0.12557763791421583
DWD-GCFS2.1,lead2,0.12714179841421852,0.1368687013649274,0.03155102017601271,-0.06523456843927715,0.0465564289458387,-0.042627423664954416,-0.06220918097343402,-0.031392160736459944,-0.10329403847952699,-0.021448410416459476,0.06392953860173504,0.0950789215608389
DWD-GCFS2.1,lead1,0.10626000908308622,0.15682960389506723,0.0806506829626826,-0.09650585536080329,0.042430930561591654,-0.03441048797172065,-0.004871687595338119,-0.03949364900512158,0.0006765290524977343,0.03624611927970031,0.06425199051609341,0.10137227410550803
CMCC-SPSv3.5,lead3,0.10670554638253851,0.09749712184088744,0.06308319257007029,0.0345005555921935,0.01579907528544102,0.015192021504858681,0.019889606583062967,-0.014520126141297622,-0.01858183291762655,0.0010648189213631038,0.060224048765940515,0.09392250457169991
CMCC-SPSv3.5,lead2,0.0834249030159421,0.08978205789032534,0.08765643003635479,-0.03394138309907072,0.004100267556547448,0.016357721303327605,-0.009501573587041741,0.0020373645348350437,-0.0370979721052471,0.011246454286544798,0.04850378973429581,0.09678820182919032
CMCC-SPSv3.5,lead1,0.1365128980756853,0.1424355531720019,0.055597774481242736,0.0033931306780005067,0.009787813141613538,0.007815364757953547,-0.05363049461896238,0.011320551888196,0.0018880259739662445,0.02342647625333006,0.04721760870315727,0.10935113853454193
NCEP-CFSv2,lead3,0.06797201957323838,0.043459140509848566,0.011504854807824705,-0.081440165108621,-0.01986219192453444,-0.02262846248180236,-0.07217990214506405,-0.06764147895392537,-0.07569649060057776,-0.03527872470484591,0.05108080569906089,0.15605125648159593
NCEP-CFSv2,lead2,0.0963692278662376,0.10741148587135746,-0.02097794004700742,-0.05674067569886629,-0.005009606455639223,-0.03164268929361825,-0.09297140741655321,0.05215959900969331,-0.028237501841651316,-0.07223024346347011,0.060748040351608405,0.1761028831577076
NCEP-CFSv2,lead1,0.06846957787929735,0.11483935280163951,0.006272531931599265,-0.022659944970289437,0.027312715664467302,-0.1005285255109277,-0.07915177636562622,-0.032081382169729056,0.0179758388689892,0.0010816804004900012,0.029399717879099767,0.14422963629995406
JMA-CPS3,lead3,-0.07580745519145635,0.036923590096030724,-0.11510812172061531,-0.1506221000541689,-0.023858914749007653,-0.07573142236571365,-0.07284052118059246,-0.04637323708948662,-0.11075313760813073,-0.1004532785354627,-0.13135576031991544,0.05006437028913326
JMA-CPS3,lead2,-0.007648272762849588,0.003308163529287955,-0.042895073261486935,-0.008478310107616254,-0.17573775674288186,-0.12636693580331765,-0.13820282921713725,-0.12400185042770259,-0.11493725616952265,-0.006788754693004797,-0.0657647962912563,0.05808639145204635
JMA-CPS3,lead1,-0.006332624460073958,-0.04949034158922371,-0.06451262781161951,-0.06351143079456269,-0.0445147370632827,-0.13401333701667625,-0.1725039032623859,-0.09743431247696167,-0.18866379526429453,-0.023823406967842093,-0.06387328297246432,0.060393380341673554
ECCC-GEM5-NEMO,lead3,-0.011704739846083716,0.1324965495904244,-0.023217438333436285,-0.05184051937076899,-0.06957774201935885,-0.16777732501924442,-0.11037507785390936,-0.12580540566745613,-0.18155721195342933,-0.1052705616101834,-0.21178134335033974,-0.03477637803473897
ECCC-GEM5-NEMO,lead2,-0.12925714502979155,0.0770145740234661,-0.05134378504801249,-0.1526955103363467,-0.09452966864863946,-0.15472469645853096,-0.12405028765976525,-0.13917751379304671,-0.19387039502205505,-0.1183358817081768,-0.013778867920296138,0.10177945984414256
ECCC-GEM5-NEMO,lead1,-0.10698322525920803,0.10008726395589967,-0.039322418312185095,-0.0785858887103165,-0.10079710897935491,-0.23358427968842885,-0.06320052666882867,-0.09494998140455184,-0.2115334716292018,-0.07053411995337623,-0.022139887662876133,0.07567885032243146
