,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,0.09634177660413648,-0.0026114790619170894,-0.05584468588241914,-0.04215535987966013,-0.016160464530293205,-0.021012064534755192,0.0053495382294164754,0.002082692614214055,0.07684527091543772,0.08703027623359243,0.18815411802266682,0.12973295515411087
ECMWF-SEAS5.1,lead2,0.10268767841641173,0.06759121385955315,-0.03730925170970814,0.02593711780890709,0.015606366542515552,-0.02225821765774391,0.03366441295240279,0.02371302937949489,-0.04452301298648679,0.09438078018051697,0.17164136880846587,0.18091649136068605
ECMWF-SEAS5.1,lead1,0.18428907054521082,-0.018444651582674967,-0.02068227276340847,0.07211048372813052,0.012956447644250997,0.021660211994078568,0.0024506164998678477,0.007177983472545469,0.015147863613217804,0.0478303062434302,0.22131523973746786,0.13570283483585635
Météo France-System 8,lead3,0.06553916886227387,0.017114258091769263,-0.06054813260621626,0.004190008576903808,-0.021336288834558792,-0.0871222762517885,-0.07365741580781475,-0.01961632207075896,-0.0014328559065971034,0.16002636244895266,0.18356509261515166,0.17062647213403287
Météo France-System 8,lead2,0.0963538304120861,0.0010311391574319405,-0.02738678299575246,-0.012612710457702257,-0.027492549603712522,-0.044888058933820606,0.023446017202327838,0.017120784192266834,0.06674236928897467,0.17198199756563112,0.23042201113159116,0.12138126507588413
Météo France-System 8,lead1,0.0987712625554552,0.0364442422480189,-0.0486486767598214,-0.008564109423898602,-0.027494564154921203,0.01879634110616488,-0.03374375445756172,0.002798618935048537,0.05207187727380243,0.11118226194264656,0.10953766240643896,0.1637227855253885
Met Office-GloSea6.2,lead3,0.10824660855630147,0.022007550878989073,-0.042015659183965846,-0.06560133693759888,-0.005983870797200169,-0.002459873401243506,-0.006882039243728505,0.026156250061198715,-0.03105018561097464,0.08215518372854999,0.12649231687543064,0.127266257467674
Met Office-GloSea6.2,lead2,0.17747963419724525,-0.01103391285177293,-0.037513102102335466,-0.007284264066298963,-0.026223692044650332,-0.036797375607108954,-0.008487590924685215,-0.01657037587528276,0.07978569948880791,0.10977888941447457,0.21054159072791082,0.19283766499783223
Met Office-GloSea6.2,lead1,0.10346478290898135,0.04595995337793712,-0.018940876819055267,-0.007972605996000073,-0.07698778463859116,0.001675111166768563,0.003598818389961434,0.04624499335330174,0.04268468627371897,0.14326612784398457,0.18581058021527638,0.23777983798697272
DWD-GCFS2.1,lead3,0.06561294580719083,0.019889256041757262,-0.04472663747036242,-0.02910910059852465,0.04757737171707023,-0.015931267773598715,-0.017047522262831204,-0.004083785978799037,-0.010075608970159034,0.15888333683349962,0.20912081709840877,0.1893478478736256
DWD-GCFS2.1,lead2,0.11950281174424869,-0.01745351214548763,-0.09606873984424132,0.03491849435479664,0.05120904319157646,-0.05665077921751057,0.013067970864704868,-0.012987555932011093,0.058766686729327555,0.15685117411576513,0.19522823309641715,0.18573872580149609
DWD-GCFS2.1,lead1,0.145607135772899,-0.004634495972443074,0.005101207707777225,0.02965051588427577,-0.030314645455129203,-0.02548436687851992,-0.021010210620131118,-0.00041511358942572226,0.016410990041591075,0.12766610846327514,0.18887046700449991,0.16310157660039584
CMCC-SPSv3.5,lead3,0.12104391347292405,0.021318027130021275,0.0262351060629903,0.04732710424517821,-0.023752141574489842,-0.007135327777114627,0.03293830579935139,-0.007889883692721028,0.04601377616522786,0.0861175453993842,0.11389555707481423,0.1817124489627092
CMCC-SPSv3.5,lead2,0.09772099418715881,-0.00039400408889832814,0.0264162353286285,0.034721781761251215,-0.029075717452888138,0.022670905412546842,-0.012694378289922842,-0.04174961885893566,0.09629078061959494,0.06955310055388671,0.165054959189721,0.1450995033126034
CMCC-SPSv3.5,lead1,0.1592173710369567,0.07795440936107458,-0.020871185826029856,0.02986701598076904,-0.008054950895826498,0.02281592742652785,-0.006588505770723986,0.019672293783742505,0.055197160586026195,0.1336223986133152,0.15056852597476872,0.17296646836113838
NCEP-CFSv2,lead3,0.09752310906268849,-0.04306264030977604,-0.05657575283313005,-0.0046508970316907535,-0.039624723265239185,-0.0017057517582463912,-0.02921538023965791,-0.053142312347390676,-0.009079712158524834,0.0677657317939288,0.11075933648385161,0.201356506732841
NCEP-CFSv2,lead2,0.09157987203896854,-0.025119270032035398,-0.07383397848304712,-0.03711443430350643,-0.03799183079874247,0.02700449135376004,-0.05168642462910801,-0.04026292332111383,-0.020922946933161744,0.046320423408404816,0.19668150982195653,0.22042856891740423
NCEP-CFSv2,lead1,0.15762073776826568,-0.040359671906843496,-0.05631548401260469,0.0039743816008024554,-0.020838945154339834,-0.057676801710526686,-0.08786534066499523,-0.013720359290066738,-0.021521411355168996,0.07314344367472299,0.26125760780957963,0.15608329586176498
JMA-CPS3,lead3,0.03350991961967482,-0.09081306297235933,-0.085713940093225,-0.19174585509800945,-0.10800115306376219,-0.05550662827964822,-0.08736710959100376,-0.22064255451077056,-0.15293698004101233,-0.11755558993999869,0.09614562984028564,0.11902454774648794
JMA-CPS3,lead2,0.01368367774066989,0.050108058776886844,-0.20988013861604515,-0.1676909326657082,-0.09494563026839374,-0.12501759286155073,-0.04760889992919391,-0.12440378925739749,-0.10713815066699896,0.06993776968184516,0.10281009153279148,-0.058835370830710866
JMA-CPS3,lead1,0.0023401637072036686,-0.08635682801152722,-0.1757211903289735,-0.09399650758937379,-0.19389310673403848,-0.009091465870812694,-0.1483687734449038,-0.10816193193937126,-0.020708094684614584,0.04293089883628892,-0.07336529500902238,0.1187855832828945
ECCC-GEM5-NEMO,lead3,-0.012431847646034822,-0.11960794832569134,-0.15791298298307538,-0.11831921176007076,-0.14739898792896738,-0.13575387422187696,-0.13908866003472647,-0.11444764275932125,-0.06219074513166603,0.03481160545244745,0.08931107259970718,0.08215593897186046
