,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,-0.13448463919462997,0.13612388415865886,-0.09261954960159324,0.10132823212042345,0.3464392480417645,0.16161052946198864,0.10109615808823612,0.15868364205470342,0.41501872627952424,0.19140910641199077,0.2779804888502386,0.08699999993903405
ECMWF-SEAS5.1,lead2,-0.17489150038145268,0.11382341949696703,-0.24483780817388312,0.0959459980534223,0.26481951632329687,0.17743389870088022,0.22575944525566005,0.32797787456971245,0.3321879340155676,0.275851619778397,0.3643033908814856,0.03689605520259694
ECMWF-SEAS5.1,lead1,0.24312827584399826,-0.02659380137554134,-0.34843180493249354,0.03572663527307963,0.391445387286218,0.17096043548736545,0.43787790014888256,0.27584840867292215,0.2527683337131772,0.47563542644741436,0.37439947927437534,0.01333420732012665
Météo France-System 8,lead3,-0.19582330084219526,-0.01802302997339423,0.10608048412740774,0.2968807629364955,0.2096238541406248,0.19722494300192076,0.4137436868016972,0.25956395132483934,0.31264043337318603,0.33554218884233933,0.05097218126546335,-0.13481189094542528
Météo France-System 8,lead2,-0.08257880850368314,-0.04078785662270681,-0.0025396597388816647,-0.07077224503310976,0.10668579728168949,0.33076648889948357,0.39029158817609294,0.4064671855886806,0.43115375705768394,0.24382488096071375,0.3991066758259627,-0.14569982406257448
Météo France-System 8,lead1,-0.16577079980058823,-0.22098502346796198,-0.17396317474301243,0.10155606303171513,0.3252789566619994,0.3910774354132389,0.4786918400022312,0.3166373675116774,0.19578300993515385,0.5325321286204175,0.1139149272588834,0.07576249225495367
Met Office-GloSea6.2,lead3,-0.2649070720450248,0.07497166309701637,-0.11481064055870017,0.0860420477589782,0.37662900663891935,0.1486098897696023,0.19750639967083108,0.1298804893237976,0.3816645401969925,0.39185350581207246,0.13727318900608015,0.0013726878048803818
Met Office-GloSea6.2,lead2,0.0015918890214848844,0.00647939544493075,-0.23669706242071767,0.03263091449714807,0.18918583312997483,0.22209046982943095,0.2759711062131442,0.2563221865218742,0.4395438324651826,0.3451278687518451,0.006028945678263266,-0.10980439171054966
Met Office-GloSea6.2,lead1,-0.06995530990625833,-0.41082349205749263,-0.17638312776113804,-0.09076807460022593,0.2609974530736316,0.08032916946312028,0.2525951262231676,0.2706799060996691,0.43262350075142575,0.33038097999447696,0.2888492409332406,0.13879151730860556
DWD-GCFS2.1,lead3,-0.18413908836966905,-0.046634473212807434,0.15096697077313959,0.02464625735548883,0.23696840123047333,0.085502873416943,0.046809936896945424,0.24869158489665838,0.3103259516748235,0.05103767200840429,0.15740621737965774,-0.03267055506419123
DWD-GCFS2.1,lead2,-0.003802909395713539,-0.054348193606183946,-0.13718331466835487,0.06918620649638156,0.20429039099888807,0.032060257826939324,0.3369588890837737,0.21274268785731082,0.250851762200299,0.21701705948118388,0.20102179513074797,-0.08474497406752123
DWD-GCFS2.1,lead1,-0.07595078057450673,-0.03314935786279383,-0.4086265428230316,0.07440423360856997,0.21042951588543818,0.06341767816469994,0.2906052637989554,0.1602106237082706,0.17073957059867606,0.16882370463628268,0.16500327291488975,0.14335380179998683
CMCC-SPSv3.5,lead3,0.04215222505932392,-0.2148077124531074,0.06913070726132861,0.3228894044298474,0.28059005144360943,0.2175840164084172,0.306096589480213,0.21519146643397088,0.24112085671390376,0.3716200140220262,0.15855649407088007,0.03768477652521222
CMCC-SPSv3.5,lead2,-0.020498769100233166,-0.061902885226141326,-0.06172232609283539,0.07867068617176406,0.23384958880334983,0.29074614451505804,0.3805241535226238,0.2241257678210549,0.3239550166893662,0.3001753135632346,0.33689914977270835,0.04712678564683709
CMCC-SPSv3.5,lead1,0.003044281413944758,-0.10780894755259829,-0.25561100404258785,0.1352941715321615,0.2842224917012954,0.18054283079186811,0.38263885906708456,0.16996362270481272,0.006263814461031979,0.4285402579791001,0.165741371708147,0.11697105694964507
NCEP-CFSv2,lead3,-0.12318521297788239,-0.0623468486925563,-0.11536113460101302,0.13583934750978763,0.23443967784671738,0.1638436265850852,0.3794865619844519,0.1322965640419381,0.12025669221148101,0.4348610041935592,0.05691312751035144,0.028836196012851298
NCEP-CFSv2,lead2,-0.34691934662142515,-0.11038406403975559,-0.07725962925902564,0.017839516788731993,0.0743032584464513,0.2170800969532303,0.3299046538547891,0.28932276450593164,0.2920151762335779,0.3125233753172357,0.3556892148753239,-0.011848212226915972
