,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,0.1640088016279175,-0.14198505605714232,0.027922652274966802,-0.1071866633916472,0.1801420024408792,0.09143597961190086,0.09800203778238112,0.10845246365702886,0.23108934273130724,0.18043106524453387,0.19466578456601263,-0.08633086750105147
ECMWF-SEAS5.1,lead2,0.10851793118282861,0.19437828033468832,0.031480385441817874,0.1489624169997331,0.2291904868329696,0.14156077161028557,0.10791420978127574,0.1579274030774316,0.135504524199546,0.0856892736142584,0.13388127145977652,-0.06938189926189632
ECMWF-SEAS5.1,lead1,0.23627368464598308,-0.03712275471356498,-0.008643509795241231,0.19302431236136847,0.08843164616030219,0.25694228225373705,0.011827764549137922,0.13241283689289546,0.21726457833892066,0.11253750226470136,0.25332309329788527,0.28577975970865094
Météo France-System 8,lead3,0.19553821608216346,0.02669045959228157,-0.008595675844288012,0.23226989094455763,0.14667845930403176,-0.0505159426634325,-0.07276751735133921,0.14246764042276383,0.06191276239492561,0.3431167440836338,0.27713367061529864,-0.025524704532489898
Météo France-System 8,lead2,0.15490832242764674,0.01335732361152227,-0.038032190713571175,0.08122099840124362,0.004440810046146207,-0.034079539747008905,0.09870465783453171,0.17017922058616722,0.33684139465591806,0.26399082668117085,0.35340126050547754,-0.17538357216991834
Météo France-System 8,lead1,0.19058853699514702,0.01015317973036136,-0.00571221890182495,0.07555582219106576,0.1923230856016126,0.26579750342122654,0.15254661144495607,0.12735665254508438,0.29965725934603693,0.10939052370590283,0.07988841832065965,0.33877074097084525
Met Office-GloSea6.2,lead3,0.24395699019183537,-0.025939350084569993,-0.14549147405040527,0.006414376139318218,0.17893959424138373,0.1423643756638411,0.09834228389863062,0.012340616531659144,0.19809549161643078,0.17483324839566752,0.09806012033088513,-0.07925676860281035
Met Office-GloSea6.2,lead2,0.3017852486629458,-0.13275800700612508,-0.03595910421246966,0.02476189308642682,-0.011174987187597518,0.0014936647449785483,0.17705858234996835,-0.01737515382179342,0.3195111151104195,0.08995365009137202,0.3190223255729741,0.007744242158355165
Met Office-GloSea6.2,lead1,0.12544276347508718,0.09872835451031711,0.052545014374074446,0.10479767434467897,-0.056188208518100975,0.22112151781598657,0.19768181406992488,0.15983728901791094,0.2586924568951417,0.1381192143594652,0.2781496047268914,0.4524420714312911
DWD-GCFS2.1,lead3,0.14307003176357586,-0.014857151840745549,-0.04871135768748167,0.04487728445548672,0.3387902108000883,0.12676248408111368,0.11064521986160829,0.08893514108981004,0.016096061612607956,0.28510883660750697,0.2971022943236228,-0.014591591352097527
DWD-GCFS2.1,lead2,0.14976203229833276,0.038747867395290424,-0.17590852577805835,0.354119808162297,0.17874799900364052,0.07771531704736924,0.14657679917126903,0.06906203036131776,0.34633196463997756,0.2256956185471866,0.22609790246836142,0.013932458395787582
DWD-GCFS2.1,lead1,0.24471476167359363,-0.0010838277571007533,0.04028925571122465,0.24276583621051012,0.14142501917926514,0.18148901948847593,0.08265985508225249,0.1468271141705494,0.3416879572240837,0.2594710312727934,0.28391932821942856,0.28816311580738874
CMCC-SPSv3.5,lead3,0.11639452641098044,-0.08884421281277916,0.14544379734365945,0.16182275201743,0.011495231633153696,0.10261377146553817,0.0572433404671848,0.07339568812435453,0.354138972305103,0.23951655294880764,-0.0037686276035974503,0.060207220011897114
CMCC-SPSv3.5,lead2,0.1232984330734719,0.03160230174799397,0.05124703136480161,0.166020099991289,-0.011180483056839708,0.25880906749201027,0.07423639830520333,-0.02467415423881441,0.3237045124203347,-0.017021792716921835,0.2974362014817179,-0.18142750319594841
CMCC-SPSv3.5,lead1,0.2717961974741558,0.07367296824130017,0.04453775448803046,0.17037263787605442,0.08273669134444472,0.25779315059279073,0.004181034331362098,0.12266678251849364,0.3140130233845816,0.22506801978604987,0.14029352492299269,0.4082497308155498
NCEP-CFSv2,lead3,0.27046952904303917,-0.028745210567329288,0.053330450396930046,-0.031083946290029463,0.15536250607312424,0.08131872314459415,0.06759661569778375,0.08915389817063533,0.15387090795634228,0.35431903979464313,0.13334081290308608,0.1102107561549325
NCEP-CFSv2,lead2,0.09257247485490021,-0.026207904304671927,-0.11674522609790533,0.0659219726486758,-0.007758995297632349,0.1432767868786157,0.06051420071221227,0.0273565473590582,0.1707401333136288,0.008084941601529769,0.3641039693625,0.038280765329586894
NCEP-CFSv2,lead1,0.22771197822644756,-0.10148887315338814,-0.009233682464388066,0.24727883901169892,0.044321615407942265,0.14050401061207984,0.0403964382078217,-0.002158820000451928,0.037478479939052387,0.08520738034178235,0.48757410529300005,0.2879321183640656
JMA-CPS3,lead3,0.21752151662356198,-0.10122444743112256,-0.05032707748054669,0.005862557598581862,0.10741787481619106,0.19377439660653567,0.13431334689883914,0.02696902629425245,0.10631305636720775,0.06201547027839064,0.12291311312809312,-0.09534894242763031
JMA-CPS3,lead2,0.07663017160662264,0.16840895677614467,-0.09106731500894556,-0.10503369701794307,0.1546035437760158,0.0983639788168894,0.11937153965799227,0.06950252901673683,0.08963974537651596,0.16823820696052721,0.23707988758480283,-0.12230009164454207
JMA-CPS3,lead1,0.008638897477476992,-0.1652626195049552,-0.050163683128383554,0.11157626374114048,-0.03887709710461427,0.2617757492347707,0.07769728620927555,-0.04943016854307207,0.14166171433987262,0.17993518937887235,-0.05036129965814831,0.32958469882963604
