,,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF
ECMWF-SEAS5.1,lead3,-0.1540385609712263,-0.025493283792075404,-0.13124987882961198,-0.08565445436487476,0.028733956215044137,-0.04253409308906342,-0.04946401040205023,-0.024147502330825812,0.09177861680901164,0.023035695449234807,-0.0004305800186670404,-0.12140111309724648
ECMWF-SEAS5.1,lead2,-0.1601980647679644,-0.04517752670397269,-0.2267383201089652,-0.126112137240968,0.029605197177821948,-0.03389782178584371,0.0036297074934335755,0.008801976359894556,0.007774505276168393,0.007668892971393654,0.09859777713678304,-0.16978533809707005
ECMWF-SEAS5.1,lead1,0.013485128665246164,-0.12776524507287432,-0.26573061334692727,-0.11460655369562125,0.09813947816333812,-0.018172522199108938,0.10127143617838304,-0.020626763200580215,0.004723980468882547,0.09443710476926404,0.07354601202974745,-0.12165040527343121
Météo France-System 8,lead3,-0.190504069248139,-0.1492001004066201,-0.05148620186525877,-0.0010329983861201491,-0.024185952448950217,-0.011951139394190444,0.061229926683260674,-0.011172627026487834,0.04760765820361954,0.08960714711944753,-0.10215223094086623,-0.19815850597642803
Météo France-System 8,lead2,-0.14843884617034933,-0.132531258968522,-0.11992546066904186,-0.11469222162885584,-0.09992475650786589,0.053063873103783785,0.07672822212850702,0.049589207908512054,0.04668043640003573,0.03405178396715875,0.0630599582970281,-0.1595091528779275
Météo France-System 8,lead1,-0.2593380284264555,-0.24316593539370893,-0.13694805818179606,-0.10352275219234473,0.015001562647142808,0.09222085631445025,0.10770271557725243,0.012140743549995637,0.002618904894289872,0.16612945970425091,-0.03143687552490273,-0.1037326469893833
Met Office-GloSea6.2,lead3,-0.2247724498396374,-0.044030679713454195,-0.10618692280172293,-0.08056585462518387,0.07018488186097689,-0.090100885309141,0.025919920777424856,0.0018861658428349578,0.034675433872838515,0.03527569194132037,-0.01364130310000675,-0.12307984689705039
Met Office-GloSea6.2,lead2,-0.12161538265142442,-0.10261307221801254,-0.2227746967128219,-0.10348328060147237,-0.05776531535101688,-0.00661770719733683,0.041456890924010684,0.0034662989376212936,0.07756450401940092,0.06858034908328477,0.0003433949149088114,-0.21647351403949203
Met Office-GloSea6.2,lead1,-0.06535763333286024,-0.2317417088984587,-0.18690592031505696,-0.2443228206195211,-0.019690949730038244,-0.05760377813015111,-0.002331275042278931,-0.0003734235088432164,0.07678145873856444,0.04440420918319496,0.05264205670963369,-0.043603850360257206
DWD-GCFS2.1,lead3,-0.2005803578024441,-0.06773732298401534,-0.0705458119054453,-0.08578936953474738,-0.03497516002118348,-0.13373413154461636,-0.12581787687907922,-0.013392019275732537,0.029122631719644968,-0.06394767594751422,0.020680679048441532,-0.09041739619540574
